id;depart;arrivee;demand_business;demand_family;list_itineraires
1;1;5;10;50;[1, 225, 226]
2;1;6;6;60;[2]
3;1;7;8;40;[3]
4;1;8;2;40;[4, 193, 194]
5;1;9;4;35;[5, 209, 210]
6;2;5;10;50;[6, 279, 280]
7;2;6;6;55;[7]
8;2;7;6;40;[8, 265, 266]
9;2;8;6;35;[9]
10;2;9;2;60;[10, 249, 250]
11;3;5;4;35;[11, 345, 346]
12;3;6;10;30;[12, 333, 334]
13;3;7;4;45;[13]
14;3;8;10;50;[14]
15;3;9;6;30;[15, 359, 360]
16;4;5;2;60;[16, 427, 428]
17;4;6;2;35;[17]
18;4;7;8;50;[18, 413, 414]
19;4;8;6;30;[19]
20;4;9;10;55;[20, 441, 442]
21;5;10;6;55;[21]
22;5;11;2;45;[22]
23;5;12;4;40;[23, 497, 498]
24;5;13;2;40;[24, 507, 508]
25;5;14;10;30;[25, 485, 486]
26;6;10;2;60;[26, 535, 536]
27;6;11;6;55;[27]
28;6;12;8;40;[28, 525, 526]
29;6;13;8;40;[29, 551, 552]
30;6;14;6;50;[30, 563, 564]
31;7;10;2;40;[31, 611, 612]
32;7;11;6;50;[32, 577, 578]
33;7;12;6;60;[33, 589, 590]
34;7;13;6;40;[34, 599, 600]
35;7;14;4;50;[35]
36;8;10;4;55;[36, 631, 632]
37;8;11;2;30;[37]
38;8;12;10;40;[38, 671, 672]
39;8;13;10;35;[39, 647, 648]
40;8;14;6;30;[40, 659, 660]
41;9;10;8;45;[41, 687, 688]
42;9;11;6;35;[42, 703, 704]
43;9;12;6;50;[43, 715, 716]
44;9;13;4;45;[44]
45;9;14;2;40;[45, 725, 726]
46;10;15;4;45;[46]
47;10;16;6;55;[47, 749, 750]
48;10;17;2;45;[48, 747, 748]
49;10;18;4;40;[49, 743, 744]
50;10;19;10;60;[50, 745, 746]
51;11;15;2;50;[51]
52;11;16;6;45;[52, 757, 758]
53;11;17;2;60;[53, 759, 760]
54;11;18;2;30;[54, 761, 762]
55;11;19;6;40;[55]
56;12;15;2;55;[56, 771, 772]
57;12;16;8;40;[57]
58;12;17;4;35;[58, 767, 768]
59;12;18;6;40;[59, 769, 770]
60;12;19;4;50;[60]
61;13;15;2;30;[61, 779, 780]
62;13;16;2;30;[62, 781, 782]
63;13;17;8;30;[63, 775, 776]
64;13;18;8;35;[64, 777, 778]
65;13;19;10;50;[65]
66;14;15;2;30;[66, 785, 786]
67;14;16;2;30;[67, 789, 790]
68;14;17;8;50;[68, 787, 788]
69;14;18;8;50;[69]
70;14;19;10;35;[70, 791, 792]
71;15;20;8;40;[71]
72;15;21;6;40;[72]
73;15;22;8;50;[73]
74;16;20;2;40;[74]
75;16;21;10;50;[75]
76;16;22;10;55;[76]
77;17;20;4;50;[77]
78;17;21;8;55;[78]
79;17;22;4;55;[79]
80;18;20;10;50;[80]
81;18;21;8;50;[81]
82;18;22;4;35;[82]
83;19;20;10;50;[83]
84;19;21;10;30;[84]
85;19;22;6;35;[85]
86;1;10;8;40;[86, 195, 196, 211, 212]
87;1;11;2;30;[87, 213, 214]
88;1;12;2;30;[88, 201, 202, 215, 216, 229, 230, 239, 240]
89;1;13;4;60;[89, 197, 198, 231, 232]
90;1;14;2;55;[90, 199, 200, 217, 218, 227, 228]
91;2;10;2;50;[91, 251, 252, 273, 274, 317, 318]
92;2;11;4;55;[92, 253, 254, 267, 268, 293, 294]
93;2;12;8;30;[93, 255, 256, 269, 270, 283, 284]
94;2;13;8;45;[94, 271, 272, 285, 286, 305, 306]
95;2;14;6;55;[95, 257, 258, 281, 282]
96;3;10;2;55;[96, 337, 338, 361, 362, 397, 398]
97;3;11;6;30;[97, 363, 364, 375, 376]
98;3;12;10;50;[98, 335, 336, 349, 350, 365, 366, 387, 388]
99;3;13;8;30;[99, 339, 340, 351, 352]
100;3;14;10;40;[100, 341, 342, 347, 348, 367, 368]
101;4;10;6;35;[101, 421, 422, 443, 444, 469, 470]
102;4;11;4;40;[102, 415, 416, 445, 446, 457, 458]
103;4;12;4;50;[103, 417, 418, 431, 432, 447, 448]
104;4;13;8;60;[104, 419, 420, 433, 434]
105;4;14;2;30;[105, 429, 430, 449, 450]
106;5;15;4;30;[106, 487, 488, 503, 504, 513, 514, 521, 522]
107;5;16;2;55;[107, 491, 492, 515, 516]
108;5;17;6;45;[108, 489, 490, 499, 500, 509, 510]
109;5;18;6;60;[109, 501, 502, 511, 512, 523, 524]
110;5;19;4;45;[110, 493, 494, 519, 520]
111;6;15;8;45;[111, 531, 532, 557, 558, 565, 566]
112;6;16;6;35;[112, 543, 544, 559, 560, 569, 570]
113;6;17;10;50;[113, 527, 528, 541, 542, 553, 554, 567, 568]
114;6;18;2;60;[114, 529, 530, 537, 538, 555, 556]
115;6;19;8;55;[115, 539, 540, 571, 572, 575, 576]
116;7;15;2;45;[116, 595, 596, 605, 606, 629, 630]
117;7;16;8;35;[117, 579, 580, 607, 608, 619, 620]
118;7;17;6;60;[118, 581, 582, 591, 592, 601, 602, 617, 618]
119;7;18;2;30;[119, 583, 584, 593, 594, 603, 604, 613, 614]
120;7;19;10;45;[120, 615, 616, 627, 628]
