id;depart;arrivee;capacite du vol;list_itineraires
1;1;8;100;[193, 194]
2;1;9;50;[209, 210]
3;1;5;60;[225, 226]
4;1;12;100;[239, 240]
5;2;9;60;[249, 250]
6;2;7;60;[265, 266]
7;2;5;100;[279, 280]
8;2;11;100;[293, 294]
9;2;13;100;[305, 306]
10;2;10;100;[317, 318]
11;3;6;60;[333, 334]
12;3;5;100;[345, 346]
13;3;9;60;[359, 360]
14;3;11;50;[375, 376]
15;3;12;100;[387, 388]
16;3;10;100;[397, 398]
17;4;7;50;[413, 414]
18;4;5;50;[427, 428]
19;4;9;50;[441, 442]
20;4;11;60;[457, 458]
21;4;10;100;[469, 470]
22;5;14;50;[227, 228, 281, 282, 347, 348, 429, 430, 485, 486]
23;5;12;100;[229, 230, 283, 284, 349, 350, 431, 432, 497, 498]
24;5;13;60;[231, 232, 285, 286, 351, 352, 433, 434, 507, 508]
25;5;19;60;[233, 234, 287, 288, 353, 354, 435, 436, 519, 520]
26;5;15;100;[235, 236, 289, 290, 355, 356, 437, 438, 521, 522]
27;5;18;60;[237, 238, 291, 292, 357, 358, 439, 440, 523, 524]
28;6;12;50;[335, 336, 525, 526]
29;6;10;60;[337, 338, 535, 536]
30;6;13;60;[339, 340, 551, 552]
31;6;14;60;[341, 342, 563, 564]
32;6;19;100;[343, 344, 575, 576]
33;7;11;60;[267, 268, 415, 416, 577, 578]
34;7;12;50;[269, 270, 417, 418, 589, 590]
35;7;13;100;[271, 272, 419, 420, 599, 600]
36;7;10;60;[273, 274, 421, 422, 611, 612]
37;7;19;60;[275, 276, 423, 424, 627, 628]
38;7;15;60;[277, 278, 425, 426, 629, 630]
39;8;10;60;[195, 196, 631, 632]
40;8;13;50;[197, 198, 647, 648]
41;8;14;100;[199, 200, 659, 660]
42;8;12;60;[201, 202, 671, 672]
43;8;15;100;[203, 204, 681, 682]
44;8;18;60;[205, 206, 683, 684]
45;8;17;100;[207, 208, 685, 686]
46;9;10;60;[211, 212, 251, 252, 361, 362, 443, 444, 687, 688]
47;9;11;100;[213, 214, 253, 254, 363, 364, 445, 446, 703, 704]
48;9;12;100;[215, 216, 255, 256, 365, 366, 447, 448, 715, 716]
49;9;14;50;[217, 218, 257, 258, 367, 368, 449, 450, 725, 726]
50;9;17;50;[219, 220, 259, 260, 369, 370, 451, 452, 737, 738]
51;9;16;60;[221, 222, 261, 262, 371, 372, 453, 454, 739, 740]
52;9;15;60;[223, 224, 263, 264, 373, 374, 455, 456, 741, 742]
53;10;18;100;[319, 320, 399, 400, 471, 472, 537, 538, 613, 614, 633, 634, 689, 690, 743, 744]
54;10;19;100;[321, 322, 401, 402, 473, 474, 539, 540, 615, 616, 635, 636, 691, 692, 745, 746]
55;10;17;50;[323, 324, 403, 404, 475, 476, 541, 542, 617, 618, 637, 638, 693, 694, 747, 748]
56;10;16;100;[325, 326, 405, 406, 477, 478, 543, 544, 619, 620, 639, 640, 695, 696, 749, 750]
57;10;21;60;[327, 328, 407, 408, 479, 480, 545, 546, 621, 622, 641, 642, 697, 698, 751, 752]
58;10;20;50;[329, 330, 409, 410, 481, 482, 547, 548, 623, 624, 643, 644, 699, 700, 753, 754]
59;10;22;100;[331, 332, 411, 412, 483, 484, 549, 550, 625, 626, 645, 646, 701, 702, 755, 756]
60;11;16;60;[295, 296, 377, 378, 459, 460, 579, 580, 705, 706, 757, 758]
61;11;17;100;[297, 298, 379, 380, 461, 462, 581, 582, 707, 708, 759, 760]
62;11;18;60;[299, 300, 381, 382, 463, 464, 583, 584, 709, 710, 761, 762]
63;11;21;60;[301, 302, 383, 384, 465, 466, 585, 586, 711, 712, 763, 764]
64;11;22;100;[303, 304, 385, 386, 467, 468, 587, 588, 713, 714, 765, 766]
65;12;17;60;[241, 242, 389, 390, 499, 500, 527, 528, 591, 592, 673, 674, 717, 718, 767, 768]
66;12;18;100;[243, 244, 391, 392, 501, 502, 529, 530, 593, 594, 675, 676, 719, 720, 769, 770]
67;12;15;60;[245, 246, 393, 394, 503, 504, 531, 532, 595, 596, 677, 678, 721, 722, 771, 772]
68;12;20;50;[247, 248, 395, 396, 505, 506, 533, 534, 597, 598, 679, 680, 723, 724, 773, 774]
69;13;17;60;[307, 308, 509, 510, 553, 554, 601, 602, 649, 650, 775, 776]
70;13;18;50;[309, 310, 511, 512, 555, 556, 603, 604, 651, 652, 777, 778]
71;13;15;100;[311, 312, 513, 514, 557, 558, 605, 606, 653, 654, 779, 780]
72;13;16;50;[313, 314, 515, 516, 559, 560, 607, 608, 655, 656, 781, 782]
73;13;21;50;[315, 316, 517, 518, 561, 562, 609, 610, 657, 658, 783, 784]
74;14;15;100;[487, 488, 565, 566, 661, 662, 727, 728, 785, 786]
75;14;17;60;[489, 490, 567, 568, 663, 664, 729, 730, 787, 788]
76;14;16;60;[491, 492, 569, 570, 665, 666, 731, 732, 789, 790]
77;14;19;100;[493, 494, 571, 572, 667, 668, 733, 734, 791, 792]
78;14;20;50;[495, 496, 573, 574, 669, 670, 735, 736, 793, 794]
