id;depart;arrivee;OnD;list_airports;alpha;list_flights
1;1;5;1;[];0.5705700555908568;[]
2;1;6;2;[];0.2597126661190443;[]
3;1;7;3;[];0.8697619935569321;[]
4;1;8;4;[];0.87779353888577;[]
5;1;9;5;[];0.8390751021332374;[]
6;2;5;6;[];0.30103266386502203;[]
7;2;6;7;[];0.7517742260651967;[]
8;2;7;8;[];0.22165542133494087;[]
9;2;8;9;[];0.12347046827411923;[]
10;2;9;10;[];0.15821532669957628;[]
11;3;5;11;[];0.570771692699922;[]
12;3;6;12;[];0.8271171667087023;[]
13;3;7;13;[];0.1246663642474688;[]
14;3;8;14;[];0.7403407292831445;[]
15;3;9;15;[];0.961827091113328;[]
16;4;5;16;[];0.1619872506885509;[]
17;4;6;17;[];0.011659199975832646;[]
18;4;7;18;[];0.0005943286033835982;[]
19;4;8;19;[];0.1382550676864116;[]
20;4;9;20;[];0.07804641290902392;[]
21;5;10;21;[];0.7099703233282568;[]
22;5;11;22;[];0.879032093142166;[]
23;5;12;23;[];0.9217237390248685;[]
24;5;13;24;[];0.02698239105263678;[]
25;5;14;25;[];0.8607674516323787;[]
26;6;10;26;[];0.15822256451785432;[]
27;6;11;27;[];0.4032571621513916;[]
28;6;12;28;[];0.7813552320065316;[]
29;6;13;29;[];0.1379476614231554;[]
30;6;14;30;[];0.48592254152292846;[]
31;7;10;31;[];0.9343697676194429;[]
32;7;11;32;[];0.6568703825133724;[]
33;7;12;33;[];0.533803630525771;[]
34;7;13;34;[];0.829449678488257;[]
35;7;14;35;[];0.35284617571359345;[]
36;8;10;36;[];0.7461590486426286;[]
37;8;11;37;[];0.0423941649533075;[]
38;8;12;38;[];0.4474931367047612;[]
39;8;13;39;[];0.7158373235792774;[]
40;8;14;40;[];0.70153148933668;[]
41;9;10;41;[];0.5972754240418827;[]
42;9;11;42;[];0.6145914648814201;[]
43;9;12;43;[];0.7655234923967378;[]
44;9;13;44;[];0.6820087190211988;[]
45;9;14;45;[];0.2748705962447642;[]
46;10;15;46;[];0.788337528115038;[]
47;10;16;47;[];0.07122866190350607;[]
48;10;17;48;[];0.8059374513263133;[]
49;10;18;49;[];0.5470126622767846;[]
50;10;19;50;[];0.29686954627172524;[]
51;11;15;51;[];0.83151967930319;[]
52;11;16;52;[];0.28278193539384966;[]
53;11;17;53;[];0.13816369593904976;[]
54;11;18;54;[];0.19805486848321818;[]
55;11;19;55;[];0.7929656128211979;[]
56;12;15;56;[];0.33616688107588444;[]
57;12;16;57;[];0.7595142099453991;[]
58;12;17;58;[];0.5538876654280438;[]
59;12;18;59;[];0.0532030211871386;[]
60;12;19;60;[];0.825351432146807;[]
61;13;15;61;[];0.09700150243125649;[]
62;13;16;62;[];0.7389216535836436;[]
63;13;17;63;[];0.5009345722793732;[]
64;13;18;64;[];0.1928427250133362;[]
65;13;19;65;[];0.6757353353008884;[]
66;14;15;66;[];0.8334858767120206;[]
67;14;16;67;[];0.6817811409302634;[]
68;14;17;68;[];0.9733026431184242;[]
69;14;18;69;[];0.34681797611744436;[]
70;14;19;70;[];0.235368024446871;[]
71;15;20;71;[];0.6857329651263893;[]
72;15;21;72;[];0.6800319037045848;[]
73;15;22;73;[];0.8668300768309378;[]
74;16;20;74;[];0.7330298502320847;[]
75;16;21;75;[];0.8915659010731012;[]
76;16;22;76;[];0.44605473686575436;[]
77;17;20;77;[];0.6746927960471396;[]
78;17;21;78;[];0.8072766372675828;[]
79;17;22;79;[];0.757614079208301;[]
80;18;20;80;[];0.05578145520063171;[]
81;18;21;81;[];0.8540773172024037;[]
82;18;22;82;[];0.4273086164267643;[]
83;19;20;83;[];0.8698590820839931;[]
84;19;21;84;[];0.22974085105230535;[]
85;19;22;85;[];0.7816007966234464;[]
86;1;10;86;[];0.7540712219798857;[]
87;1;11;87;[];0.8110867459139517;[]
88;1;12;88;[];0.6649231573701113;[]
89;1;13;89;[];0.42457570780500054;[]
90;1;14;90;[];0.7483213457325508;[]
91;2;10;91;[];0.4176616438870844;[]
92;2;11;92;[];0.30450226204079067;[]
93;2;12;93;[];0.4989644513110152;[]
94;2;13;94;[];0.47623360973471973;[]
95;2;14;95;[];0.7391066438943164;[]
96;3;10;96;[];0.8943253318870401;[]
97;3;11;97;[];0.2527177332484907;[]
98;3;12;98;[];0.6988000030252781;[]
99;3;13;99;[];0.5585258789413032;[]
100;3;14;100;[];0.6704404953558942;[]
101;4;10;101;[];0.1340056657982467;[]
102;4;11;102;[];0.00914252115797387;[]
103;4;12;103;[];0.6368536572883909;[]
104;4;13;104;[];0.21990230824342372;[]
105;4;14;105;[];0.7113418571808103;[]
106;5;15;106;[];0.3141767975656755;[]
107;5;16;107;[];0.6034179615372064;[]
108;5;17;108;[];0.8504908330833769;[]
109;5;18;109;[];0.641305494818259;[]
110;5;19;110;[];0.5427918261425888;[]
111;6;15;111;[];0.6650204906309454;[]
112;6;16;112;[];0.5656334454704344;[]
113;6;17;113;[];0.02808153955250181;[]
114;6;18;114;[];0.08069334892405;[]
115;6;19;115;[];0.6465142139177495;[]
116;7;15;116;[];0.7048863518530384;[]
117;7;16;117;[];0.5319559637690365;[]
118;7;17;118;[];0.9223399012729008;[]
119;7;18;119;[];0.24342340466477563;[]
120;7;19;120;[];0.08553334156979986;[]
121;8;15;121;[];0.48612359675844785;[]
122;8;16;122;[];0.4629039541516835;[]
123;8;17;123;[];0.7890105057149415;[]
124;8;18;124;[];0.29864836885345025;[]
125;8;19;125;[];0.9239082410679784;[]
126;9;15;126;[];0.5920774824935713;[]
127;9;16;127;[];0.35506147020823664;[]
128;9;17;128;[];0.3414957755975778;[]
129;9;18;129;[];0.5211575335478733;[]
130;9;19;130;[];0.6771364843922085;[]
131;10;20;131;[];0.9328927046452997;[]
