id;depart;arrivee;capacite du vol;list_itineraires
1;1;8;100;[3, 2493, 2494]
2;1;7;70;[2, 2513, 2514]
3;1;9;60;[4, 2531, 2532]
4;1;10;50;[5, 2549, 2550]
5;1;6;100;[1, 2569, 2570]
6;1;17;100;[668, 2589, 2590]
7;1;13;50;[664, 2607, 2608]
8;1;11;80;[662, 2627, 2628]
9;1;12;60;[663, 2647, 2648]
10;2;9;50;[9, 2663, 2664]
11;2;6;70;[6, 2681, 2682]
12;2;7;70;[7, 2701, 2702]
13;2;8;70;[8, 2719, 2720]
14;2;10;100;[10, 2739, 2740]
15;2;15;50;[674, 2759, 2760]
16;2;11;60;[670, 2775, 2776]
17;2;17;60;[676, 2795, 2796]
18;2;13;70;[672, 2813, 2814]
19;2;12;80;[671, 2833, 2834]
20;3;8;80;[13, 2849, 2850]
21;3;9;100;[14, 2869, 2870]
22;3;10;70;[15, 2887, 2888]
23;3;7;70;[12, 2907, 2908]
24;3;6;100;[11, 2925, 2926]
25;3;17;60;[684, 2945, 2946]
26;3;12;70;[679, 2963, 2964]
27;3;14;100;[681, 2979, 2980]
28;3;18;90;[685, 2999, 3000]
29;4;10;90;[20, 3017, 3018]
30;4;9;100;[19, 3037, 3038]
31;4;8;80;[18, 3055, 3056]
32;4;6;50;[16, 3075, 3076]
33;4;7;80;[17, 3095, 3096]
34;4;11;90;[686, 3113, 3114]
35;4;15;80;[690, 3133, 3134]
36;4;16;50;[691, 3149, 3150]
37;5;7;50;[22, 3167, 3168]
38;5;6;80;[21, 3185, 3186]
39;5;8;50;[23, 3205, 3206]
40;5;10;100;[25, 3225, 3226]
41;5;14;60;[697, 3245, 3246]
42;5;16;100;[699, 3265, 3266]
43;5;15;80;[698, 3283, 3284]
44;6;17;50;[32, 2571, 2572, 2683, 2684, 2927, 2928, 3077, 3078, 3187, 3188, 3299, 3300]
45;6;11;90;[26, 2573, 2574, 2685, 2686, 2929, 2930, 3079, 3080, 3189, 3190, 3317, 3318]
46;6;14;70;[29, 2575, 2576, 2687, 2688, 2931, 2932, 3081, 3082, 3191, 3192, 3337, 3338]
47;6;13;50;[28, 2577, 2578, 2689, 2690, 2933, 2934, 3083, 3084, 3193, 3194, 3357, 3358]
48;6;12;70;[27, 2579, 2580, 2691, 2692, 2935, 2936, 3085, 3086, 3195, 3196, 3377, 3378]
49;6;22;70;[705, 2581, 2582, 2693, 2694, 2937, 2938, 3087, 3088, 3197, 3198, 3393, 3394]
50;6;21;70;[704, 2583, 2584, 2695, 2696, 2939, 2940, 3089, 3090, 3199, 3200, 3413, 3414]
51;6;20;80;[703, 2585, 2586, 2697, 2698, 2941, 2942, 3091, 3092, 3201, 3202, 3433, 3434]
52;6;19;70;[702, 2587, 2588, 2699, 2700, 2943, 2944, 3093, 3094, 3203, 3204, 3455, 3456]
53;7;15;70;[38, 2515, 2516, 2703, 2704, 2909, 2910, 3097, 3098, 3169, 3170, 3477, 3478]
54;7;16;90;[39, 2517, 2518, 2705, 2706, 2911, 2912, 3099, 3100, 3171, 3172, 3493, 3494]
55;7;12;80;[35, 2519, 2520, 2707, 2708, 2913, 2914, 3101, 3102, 3173, 3174, 3511, 3512]
56;7;13;90;[36, 2521, 2522, 2709, 2710, 2915, 2916, 3103, 3104, 3175, 3176, 3527, 3528]
57;7;22;60;[709, 2523, 2524, 2711, 2712, 2917, 2918, 3105, 3106, 3177, 3178, 3547, 3548]
58;7;19;70;[706, 2525, 2526, 2713, 2714, 2919, 2920, 3107, 3108, 3179, 3180, 3567, 3568]
59;7;21;70;[708, 2527, 2528, 2715, 2716, 2921, 2922, 3109, 3110, 3181, 3182, 3589, 3590]
60;7;20;70;[707, 2529, 2530, 2717, 2718, 2923, 2924, 3111, 3112, 3183, 3184, 3609, 3610]
