id;depart;arrivee;OnD;list_airports;alpha;list_flights
1;1;7;1;[];0.10682291719455184;[]
2;1;8;2;[];0.4557102280630261;[]
3;1;9;3;[];0.33774900264170227;[]
4;1;10;4;[];0.4027801338691561;[]
5;1;11;5;[];0.3947182325953027;[]
6;1;12;6;[];0.8391779186244996;[]
7;1;13;7;[];0.4551271218252617;[]
8;2;7;8;[];0.900737288913311;[]
9;2;8;9;[];0.10191659106836015;[]
10;2;9;10;[];0.6049800297325829;[]
11;2;10;11;[];0.05262697084304513;[]
12;2;11;12;[];0.8232633001347889;[]
13;2;12;13;[];0.2936404373029349;[]
14;2;13;14;[];0.3247242180858303;[]
15;3;7;15;[];0.6801579018281065;[]
16;3;8;16;[];0.6243633810152291;[]
17;3;9;17;[];0.32721748436664955;[]
18;3;10;18;[];0.011891338084717429;[]
19;3;11;19;[];0.7645662883312097;[]
20;3;12;20;[];0.9279727944627814;[]
21;3;13;21;[];0.7395137858997449;[]
22;4;7;22;[];0.010153698072782547;[]
23;4;8;23;[];0.4485743515063769;[]
24;4;9;24;[];0.2530657513124608;[]
25;4;10;25;[];0.8414478793607403;[]
26;4;11;26;[];0.11682570272876958;[]
27;4;12;27;[];0.323202965259034;[]
28;4;13;28;[];0.19631404629799487;[]
29;5;7;29;[];0.6530828835603188;[]
30;5;8;30;[];0.02421035453285203;[]
31;5;9;31;[];0.32523915195508035;[]
32;5;10;32;[];0.36115830131424653;[]
33;5;11;33;[];0.21852229668344614;[]
34;5;12;34;[];0.36448567190253023;[]
35;5;13;35;[];0.1590529688927158;[]
36;6;7;36;[];0.9125619860420113;[]
37;6;8;37;[];0.18169419703560297;[]
38;6;9;38;[];0.3993795929116277;[]
39;6;10;39;[];0.9912892378082978;[]
40;6;11;40;[];0.7648740968789807;[]
41;6;12;41;[];0.991330473256308;[]
42;6;13;42;[];0.5612772724260462;[]
43;7;14;43;[];0.9068854015832828;[]
44;7;15;44;[];0.5248114672379518;[]
45;7;16;45;[];0.6133445587545618;[]
46;7;17;46;[];0.12047262623424704;[]
47;7;18;47;[];0.6838645971741706;[]
48;8;14;48;[];0.8364988423481579;[]
49;8;15;49;[];0.5400436935553161;[]
50;8;16;50;[];0.41929972437035756;[]
51;8;17;51;[];0.9408127976774927;[]
52;8;18;52;[];0.9058085608542608;[]
53;9;14;53;[];0.20300780833508325;[]
54;9;15;54;[];0.3154933215939346;[]
55;9;16;55;[];0.046347832316789406;[]
56;9;17;56;[];0.5167461549110912;[]
57;9;18;57;[];0.3329143018058043;[]
58;10;14;58;[];0.9598452614689519;[]
59;10;15;59;[];0.4703403731855764;[]
60;10;16;60;[];0.7299724077157568;[]
61;10;17;61;[];0.9045670934768428;[]
62;10;18;62;[];0.9021019878901864;[]
63;11;14;63;[];0.4835864817153297;[]
64;11;15;64;[];0.5329419150477737;[]
65;11;16;65;[];0.1940325733262438;[]
66;11;17;66;[];0.5296652272213551;[]
67;11;18;67;[];0.1357954524342715;[]
68;12;14;68;[];0.9375662041548791;[]
69;12;15;69;[];0.9780746639070226;[]
70;12;16;70;[];0.13116369381297455;[]
71;12;17;71;[];0.5520086211143793;[]
72;12;18;72;[];0.8231150990762837;[]
73;13;14;73;[];0.5882547099931184;[]
74;13;15;74;[];0.04279499258066588;[]
75;13;16;75;[];0.43098686161214905;[]
76;13;17;76;[];0.05473570493541202;[]
77;13;18;77;[];0.05695059295021054;[]
78;14;19;78;[];0.7105401725921885;[]
79;14;20;79;[];0.16847000337645124;[]
80;14;21;80;[];0.8348066032483068;[]
81;14;22;81;[];0.9345732311170796;[]
82;15;19;82;[];0.4666312850878367;[]
83;15;20;83;[];0.34162197119670834;[]
84;15;21;84;[];0.26629531328827993;[]
85;15;22;85;[];0.5278114423662501;[]
86;16;19;86;[];0.9849614462174863;[]
87;16;20;87;[];0.9276914440643427;[]
88;16;21;88;[];0.26643098909081564;[]
89;16;22;89;[];0.41718051903371034;[]
90;17;19;90;[];0.08508785937266361;[]
91;17;20;91;[];0.6717379474717802;[]
92;17;21;92;[];0.3157263057691462;[]
93;17;22;93;[];0.8029243346272295;[]
94;18;19;94;[];0.7448472205103118;[]
95;18;20;95;[];0.4149938629895351;[]
96;18;21;96;[];0.8401019534773793;[]
97;18;22;97;[];0.6053321777170861;[]
98;19;23;98;[];0.5176602172774145;[]
99;19;24;99;[];0.3067196514204271;[]
100;19;25;100;[];0.38936039734966177;[]
101;19;26;101;[];0.4044119577034777;[]
102;19;27;102;[];0.24917297000858163;[]
103;20;23;103;[];0.8055126206911845;[]
104;20;24;104;[];0.35588579895740957;[]
105;20;25;105;[];0.32117791132925255;[]
106;20;26;106;[];0.8651621268618306;[]
107;20;27;107;[];0.1288303760359102;[]
108;21;23;108;[];0.1504353443435369;[]
109;21;24;109;[];0.36312798282129366;[]
110;21;25;110;[];0.8569466703113153;[]
111;21;26;111;[];0.48885028054191726;[]
112;21;27;112;[];0.6210904682682585;[]
113;22;23;113;[];0.47885266462942644;[]
114;22;24;114;[];0.3028153519812391;[]
115;22;25;115;[];0.4147708284262379;[]
116;22;26;116;[];0.2288707233285392;[]
117;22;27;117;[];0.45737553656142604;[]
118;23;28;118;[];0.575880843291771;[]
119;23;29;119;[];0.6502425076235716;[]
120;23;30;120;[];0.5418727581126135;[]
121;23;31;121;[];0.36323433309919695;[]
122;24;28;122;[];0.40113824248790486;[]
123;24;29;123;[];0.7432150620051758;[]
124;24;30;124;[];0.8013425992854555;[]
125;24;31;125;[];0.6941166745411156;[]
126;25;28;126;[];0.4693559013677393;[]
127;25;29;127;[];0.9574147787870904;[]
128;25;30;128;[];0.41258560775731357;[]
129;25;31;129;[];0.8839738459862987;[]
130;26;28;130;[];0.9596598041623441;[]
131;26;29;131;[];0.7204691595708637;[]
132;26;30;132;[];0.055118569570489884;[]
133;26;31;133;[];0.3091223087238242;[]
134;27;28;134;[];0.6682903175967234;[]
135;27;29;135;[];0.1259779897859945;[]
136;27;30;136;[];0.09359732160728185;[]
137;27;31;137;[];0.10162676078076416;[]
138;28;32;138;[];0.12128060432573173;[]
139;28;33;139;[];0.4285779681924893;[]
140;28;34;140;[];0.7607595241251293;[]
141;28;35;141;[];0.7876226558620463;[]
