id;depart;arrivee;capacite du vol;list_itineraires
1;1;15;80;[2285, 2286]
2;1;10;60;[2305, 2306]
3;1;13;80;[2325, 2326]
4;1;9;100;[2345, 2346]
5;1;20;70;[2363, 2364]
6;1;19;50;[2381, 2382]
7;1;16;60;[2401, 2402]
8;1;17;50;[2419, 2420]
9;2;10;60;[2441, 2442]
10;2;9;70;[2461, 2462]
11;2;14;60;[2479, 2480]
12;2;11;70;[2499, 2500]
13;2;15;90;[2517, 2518]
14;2;13;100;[2537, 2538]
15;2;18;100;[2557, 2558]
16;2;20;90;[2573, 2574]
17;2;16;100;[2591, 2592]
18;3;12;90;[2609, 2610]
19;3;14;80;[2625, 2626]
20;3;10;90;[2645, 2646]
21;3;9;50;[2665, 2666]
22;3;20;80;[2683, 2684]
23;3;18;100;[2701, 2702]
24;3;16;50;[2717, 2718]
25;3;19;90;[2735, 2736]
26;3;17;80;[2755, 2756]
27;4;9;90;[2777, 2778]
28;4;11;90;[2795, 2796]
29;4;10;90;[2813, 2814]
30;4;13;50;[2833, 2834]
31;4;12;90;[2853, 2854]
32;4;18;80;[2869, 2870]
33;4;20;90;[2885, 2886]
34;4;19;90;[2903, 2904]
35;5;13;80;[2923, 2924]
36;5;10;50;[2943, 2944]
37;5;9;80;[2963, 2964]
38;5;11;100;[2981, 2982]
39;5;14;50;[2999, 3000]
40;5;15;80;[3019, 3020]
41;5;20;100;[3039, 3040]
42;5;18;70;[3057, 3058]
43;5;19;100;[3073, 3074]
44;5;16;90;[3093, 3094]
45;5;17;60;[3111, 3112]
46;6;11;50;[3133, 3134]
47;6;9;100;[3151, 3152]
48;6;10;70;[3169, 3170]
49;6;15;60;[3189, 3190]
50;6;13;70;[3209, 3210]
51;6;14;80;[3229, 3230]
52;6;16;50;[3249, 3250]
53;6;17;80;[3267, 3268]
54;6;18;60;[3289, 3290]
55;7;12;50;[3305, 3306]
56;7;14;80;[3321, 3322]
57;7;10;80;[3341, 3342]
58;7;15;80;[3361, 3362]
59;7;13;90;[3381, 3382]
60;7;11;100;[3401, 3402]
61;7;18;90;[3419, 3420]
62;7;19;100;[3435, 3436]
63;7;16;60;[3455, 3456]
64;7;17;50;[3473, 3474]
65;7;20;100;[3495, 3496]
66;8;10;90;[3513, 3514]
67;8;13;50;[3533, 3534]
68;8;12;90;[3553, 3554]
69;8;11;70;[3569, 3570]
70;8;14;80;[3587, 3588]
71;8;9;50;[3607, 3608]
72;8;18;80;[3625, 3626]
73;8;20;90;[3641, 3642]
74;8;16;70;[3659, 3660]
