id;depart;arrivee;OnD;list_airports;alpha;list_flights
1;1;9;1;[];0.9318737315724936;[]
2;1;10;2;[];0.7105808022250342;[]
3;1;11;3;[];0.09973780900689677;[]
4;1;12;4;[];0.175895444157536;[]
5;1;13;5;[];0.2799812806877149;[]
6;1;14;6;[];0.11453606647955827;[]
7;1;15;7;[];0.4321818115655556;[]
8;2;9;8;[];0.4641763229750244;[]
9;2;10;9;[];0.08970376957688564;[]
10;2;11;10;[];0.14005085190873667;[]
11;2;12;11;[];0.40024781313349256;[]
12;2;13;12;[];0.3096239400675864;[]
13;2;14;13;[];0.9016801910361747;[]
14;2;15;14;[];0.7305411411313174;[]
15;3;9;15;[];0.4481691918002304;[]
16;3;10;16;[];0.3341998156523025;[]
17;3;11;17;[];0.2854322854980824;[]
18;3;12;18;[];0.8786523076712354;[]
19;3;13;19;[];0.15463122202212398;[]
20;3;14;20;[];0.27838932181689846;[]
21;3;15;21;[];0.19233665958444734;[]
22;4;9;22;[];0.7747013041964308;[]
23;4;10;23;[];0.9106840053294103;[]
24;4;11;24;[];0.1750988958854367;[]
25;4;12;25;[];0.914208508457061;[]
26;4;13;26;[];0.012805286791961246;[]
27;4;14;27;[];0.6939037437264957;[]
28;4;15;28;[];0.8025089134196364;[]
29;5;9;29;[];0.011941371698048542;[]
30;5;10;30;[];0.9203632930701977;[]
31;5;11;31;[];0.004443960401745883;[]
32;5;12;32;[];0.6547108416536764;[]
33;5;13;33;[];0.4935008888494796;[]
34;5;14;34;[];0.14316699406494737;[]
35;5;15;35;[];0.675122244615042;[]
36;6;9;36;[];0.5587346431728013;[]
37;6;10;37;[];0.694252087369847;[]
38;6;11;38;[];0.6224017879945778;[]
39;6;12;39;[];0.4883680685936942;[]
40;6;13;40;[];0.8311197271291524;[]
41;6;14;41;[];0.9003723271612474;[]
42;6;15;42;[];0.23289354411424656;[]
43;7;9;43;[];0.5764780813903194;[]
44;7;10;44;[];0.06509583809373054;[]
45;7;11;45;[];0.2846536868525311;[]
46;7;12;46;[];0.23433096265250497;[]
47;7;13;47;[];0.8567917401459582;[]
48;7;14;48;[];0.05981563801070333;[]
49;7;15;49;[];0.8295375653696573;[]
50;8;9;50;[];0.5701901663704083;[]
51;8;10;51;[];0.16836413798132432;[]
52;8;11;52;[];0.8154176339697781;[]
53;8;12;53;[];0.7831280110208096;[]
54;8;13;54;[];0.8658719823618231;[]
55;8;14;55;[];0.9993930710917533;[]
56;8;15;56;[];0.6376491365391017;[]
57;9;16;57;[];0.9816258445657626;[]
58;9;17;58;[];0.4244651428597932;[]
59;9;18;59;[];0.6915270319399891;[]
60;9;19;60;[];0.4725157437300067;[]
61;9;20;61;[];0.3421934550226433;[]
62;10;16;62;[];0.20578898704971627;[]
63;10;17;63;[];0.1831217553550426;[]
64;10;18;64;[];0.3198388093218689;[]
65;10;19;65;[];0.18407791129157802;[]
66;10;20;66;[];0.5939523987346691;[]
67;11;16;67;[];0.3059148704872585;[]
68;11;17;68;[];0.7916776401704755;[]
69;11;18;69;[];0.586015508157842;[]
70;11;19;70;[];0.14807282812135214;[]
71;11;20;71;[];0.7291043327437647;[]
72;12;16;72;[];0.6908451909194675;[]
73;12;17;73;[];0.2488450237075419;[]
74;12;18;74;[];0.5937964816591594;[]
75;12;19;75;[];0.22560189679536524;[]
76;12;20;76;[];0.8550379133314336;[]
77;13;16;77;[];0.15756605365649423;[]
78;13;17;78;[];0.7075096687568942;[]
79;13;18;79;[];0.7276156025382905;[]
80;13;19;80;[];0.5894093169513912;[]
81;13;20;81;[];0.3095947317441552;[]
82;14;16;82;[];0.12814054225210647;[]
83;14;17;83;[];0.9767871933339685;[]
84;14;18;84;[];0.8356479168921225;[]
85;14;19;85;[];0.7057569543696225;[]
86;14;20;86;[];0.6870579002361075;[]
87;15;16;87;[];0.1748545294298418;[]
88;15;17;88;[];0.9707352400154379;[]
89;15;18;89;[];0.19199010493314428;[]
90;15;19;90;[];0.8562114764877686;[]
91;15;20;91;[];0.11002657257450799;[]
92;16;21;92;[];0.7270028031636815;[]
