id;depart;arrivee;demand_business;demand_family;list_itineraires
1;1;8;8;30;[1]
2;1;9;6;35;[2, 1904, 1905]
3;1;10;6;50;[3, 1886, 1887]
4;1;11;10;35;[4, 1864, 1865]
5;1;12;8;40;[5, 1922, 1923]
6;1;13;6;40;[6, 1940, 1941]
7;2;8;6;50;[7, 2060, 2061]
8;2;9;10;45;[8, 2102, 2103]
9;2;10;4;55;[9, 2042, 2043]
10;2;11;10;40;[10, 2080, 2081]
11;2;12;8;45;[11, 2024, 2025]
12;2;13;8;40;[12]
13;3;8;10;45;[13]
14;3;9;2;60;[14, 2226, 2227]
15;3;10;8;60;[15, 2208, 2209]
16;3;11;6;60;[16, 2244, 2245]
17;3;12;8;30;[17, 2190, 2191]
18;3;13;6;55;[18]
19;4;8;10;55;[19]
20;4;9;2;50;[20, 2350, 2351]
21;4;10;10;55;[21, 2368, 2369]
22;4;11;8;40;[22, 2386, 2387]
23;4;12;2;30;[23]
24;4;13;4;55;[24, 2330, 2331]
25;5;8;6;35;[25, 2514, 2515]
26;5;9;6;55;[26, 2554, 2555]
27;5;10;8;30;[27]
28;5;11;8;55;[28]
29;5;12;2;40;[29, 2496, 2497]
30;5;13;10;40;[30, 2534, 2535]
31;6;8;2;40;[31, 2718, 2719]
32;6;9;10;45;[32, 2682, 2683]
33;6;10;4;45;[33, 2700, 2701]
34;6;11;6;50;[34, 2660, 2661]
35;6;12;6;45;[35]
36;6;13;2;45;[36]
37;7;8;4;50;[37, 2844, 2845]
38;7;9;8;50;[38, 2826, 2827]
39;7;10;2;45;[39, 2864, 2865]
40;7;11;2;35;[40, 2920, 2921]
41;7;12;2;45;[41, 2882, 2883]
42;7;13;2;55;[42, 2900, 2901]
43;8;14;4;40;[43, 3030, 3031]
44;8;15;4;45;[44, 3076, 3077]
45;8;16;6;55;[45, 3054, 3055]
46;8;17;8;40;[46, 3100, 3101]
47;9;14;6;50;[47, 3228, 3229]
48;9;15;4;55;[48, 3252, 3253]
49;9;16;6;55;[49, 3276, 3277]
50;9;17;10;45;[50, 3210, 3211]
51;10;14;4;50;[51, 3434, 3435]
52;10;15;4;50;[52, 3410, 3411]
53;10;16;2;40;[53, 3370, 3371]
54;10;17;10;35;[54, 3392, 3393]
55;11;14;6;50;[55, 3552, 3553]
56;11;15;4;45;[56, 3576, 3577]
57;11;16;6;50;[57, 3530, 3531]
58;11;17;6;55;[58, 3600, 3601]
59;12;14;8;55;[59, 3730, 3731]
60;12;15;8;35;[60, 3776, 3777]
61;12;16;8;35;[61, 3754, 3755]
62;12;17;4;45;[62, 3800, 3801]
63;13;14;2;35;[63, 3932, 3933]
64;13;15;2;45;[64, 3908, 3909]
65;13;16;10;40;[65, 3956, 3957]
66;13;17;10;50;[66, 3890, 3891]
67;14;18;2;55;[67, 4094, 4095]
68;14;19;4;45;[68, 4146, 4147]
69;14;20;4;35;[69, 4114, 4115]
70;14;21;4;35;[70, 4166, 4167]
71;14;22;2;35;[71, 4130, 4131]
72;14;23;8;30;[72, 4074, 4075]
73;15;18;2;40;[73, 4276, 4277]
74;15;19;10;30;[74, 4336, 4337]
75;15;20;8;45;[75, 4372, 4373]
76;15;21;6;60;[76, 4316, 4317]
77;15;22;6;45;[77, 4356, 4357]
78;15;23;10;55;[78, 4296, 4297]
79;16;18;2;35;[79, 4478, 4479]
80;16;19;6;55;[80, 4514, 4515]
81;16;20;4;50;[81, 4554, 4555]
82;16;21;10;50;[82, 4534, 4535]
83;16;22;10;35;[83, 4498, 4499]
84;16;23;8;55;[84, 4570, 4571]
85;17;18;6;55;[85, 4698, 4699]
86;17;19;2;50;[86]
87;17;20;10;30;[87, 4718, 4719]
88;17;21;6;35;[88, 4734, 4735]
89;17;22;2;60;[89, 4662, 4663]
90;17;23;6;40;[90, 4678, 4679]
91;18;24;6;50;[91, 4808, 4809]
92;18;25;10;60;[92, 4826, 4827]
93;18;26;6;30;[93, 4862, 4863]
94;18;27;6;35;[94, 4880, 4881]
95;18;28;10;30;[95, 4844, 4845]
96;19;24;10;55;[96, 5038, 5039]
97;19;25;4;55;[97, 5002, 5003]
98;19;26;2;40;[98, 5020, 5021]
99;19;27;10;55;[99, 4984, 4985]
100;19;28;10;40;[100, 4966, 4967]
101;20;24;10;30;[101, 5124, 5125]
102;20;25;2;30;[102, 5160, 5161]
103;20;26;2;50;[103, 5178, 5179]
104;20;27;2;55;[104, 5142, 5143]
105;20;28;6;45;[105]
106;21;24;4;60;[106, 5320, 5321]
107;21;25;8;45;[107, 5248, 5249]
108;21;26;6;55;[108, 5266, 5267]
109;21;27;4;35;[109, 5302, 5303]
110;21;28;8;40;[110, 5284, 5285]
111;22;24;2;40;[111, 5406, 5407]
112;22;25;10;35;[112, 5424, 5425]
113;22;26;4;55;[113, 5442, 5443]
114;22;27;10;35;[114, 5460, 5461]
115;22;28;6;30;[115]
116;23;24;8;35;[116, 5582, 5583]
117;23;25;10;55;[117, 5546, 5547]
118;23;26;8;60;[118, 5600, 5601]
119;23;27;4;50;[119, 5528, 5529]
120;23;28;2;30;[120, 5564, 5565]
121;24;29;10;45;[121, 5686, 5687]
122;24;30;8;35;[122, 5736, 5737]
123;24;31;8;40;[123, 5702, 5703]
124;24;32;6;50;[124, 5720, 5721]
125;25;29;10;50;[125, 5880, 5881]
126;25;30;4;55;[126, 5828, 5829]
127;25;31;4;60;[127, 5862, 5863]
128;25;32;6;40;[128, 5846, 5847]
129;26;29;2;55;[129, 5970, 5971]
130;26;30;4;40;[130, 6002, 6003]
131;26;31;4;45;[131, 6020, 6021]
132;26;32;8;35;[132, 5986, 5987]
133;27;29;8;45;[133, 6112, 6113]
134;27;30;4;45;[134, 6162, 6163]
135;27;31;4;35;[135, 6128, 6129]
136;27;32;2;55;[136, 6146, 6147]
137;28;29;8;45;[137, 6288, 6289]
138;28;30;4;40;[138, 6304, 6305]
139;28;31;4;40;[139, 6254, 6255]
140;28;32;8;35;[140, 6272, 6273]
141;29;33;6;55;[141, 6450, 6451]
142;29;34;6;45;[142, 6396, 6397]
143;29;35;4;30;[143, 6414, 6415]
144;29;36;8;55;[144, 6434, 6435]
145;30;33;6;60;[145, 6570, 6571]
146;30;34;4;30;[146, 6590, 6591]
147;30;35;4;35;[147, 6534, 6535]
148;30;36;10;45;[148, 6554, 6555]
149;31;33;10;35;[149, 6710, 6711]
150;31;34;10;40;[150, 6750, 6751]
151;31;35;2;35;[151, 6730, 6731]
152;31;36;8;35;[152, 6694, 6695]
153;32;33;6;30;[153, 6908, 6909]
154;32;34;4;40;[154, 6854, 6855]
155;32;35;10;30;[155, 6872, 6873]
156;32;36;6;30;[156, 6892, 6893]
157;33;37;2;45;[157, 7056, 7057]
158;33;38;4;60;[158, 7032, 7033]
159;33;39;4;40;[159, 7014, 7015]
160;33;40;10;30;[160, 6992, 6993]
161;34;37;2;55;[161, 7162, 7163]
162;34;38;6;60;[162, 7202, 7203]
163;34;39;2;30;[163, 7184, 7185]
164;34;40;10;60;[164, 7226, 7227]
165;35;37;4;30;[165, 7314, 7315]
166;35;38;8;60;[166, 7376, 7377]
167;35;39;8;60;[167, 7358, 7359]
168;35;40;2;35;[168, 7336, 7337]
169;36;37;10;60;[169, 7548, 7549]
170;36;38;2;45;[170, 7484, 7485]
171;36;39;2;35;[171, 7508, 7509]
172;36;40;8;30;[172, 7526, 7527]
173;37;41;4;55;[173, 7672, 7673]
174;37;42;4;60;[174, 7622, 7623]
175;37;43;6;30;[175, 7656, 7657]
176;37;44;6;45;[176]
177;37;45;4;50;[177, 7640, 7641]
178;38;41;4;30;[178, 7872, 7873]
179;38;42;6;55;[179, 7854, 7855]
180;38;43;4;60;[180, 7838, 7839]
181;38;44;10;40;[181, 7820, 7821]
182;38;45;2;50;[182, 7804, 7805]
183;39;41;10;40;[183, 8022, 8023]
184;39;42;2;30;[184, 8004, 8005]
185;39;43;10;50;[185, 8072, 8073]
186;39;44;8;35;[186, 8054, 8055]
187;39;45;6;30;[187, 8038, 8039]
188;40;41;2;50;[188, 8200, 8201]
189;40;42;2;60;[189, 8164, 8165]
190;40;43;6;40;[190, 8216, 8217]
191;40;44;4;45;[191, 8182, 8183]
192;40;45;2;50;[192, 8148, 8149]
193;41;46;6;30;[193, 8382, 8383]
194;41;47;8;50;[194]
195;41;48;10;45;[195, 8342, 8343]
196;41;49;10;40;[196]
197;41;50;4;50;[197, 8326, 8327]
198;41;51;4;50;[198, 8362, 8363]
199;41;52;10;50;[199]
200;42;46;4;45;[200, 8480, 8481]
201;42;47;8;35;[201]
202;42;48;4;55;[202, 8534, 8535]
203;42;49;8;40;[203, 8500, 8501]
204;42;50;6;35;[204, 8518, 8519]
205;42;51;2;50;[205, 8460, 8461]
206;42;52;10;55;[206]
207;43;46;4;40;[207, 8666, 8667]
208;43;47;2;50;[208, 8646, 8647]
209;43;48;8;60;[209]
210;43;49;4;40;[210]
211;43;50;10;30;[211]
212;43;51;10;35;[212, 8626, 8627]
213;43;52;10;45;[213, 8608, 8609]
214;44;46;2;60;[214, 8740, 8741]
215;44;47;6;35;[215]
216;44;48;10;50;[216, 8814, 8815]
217;44;49;10;60;[217, 8796, 8797]
218;44;50;10;35;[218, 8760, 8761]
219;44;51;8;35;[219, 8776, 8777]
220;44;52;8;30;[220]
221;45;46;10;45;[221, 8888, 8889]
222;45;47;10;30;[222]
223;45;48;4;45;[223, 8928, 8929]
224;45;49;4;55;[224]
225;45;50;8;40;[225, 8948, 8949]
226;45;51;8;50;[226, 8908, 8909]
227;45;52;2;55;[227]
228;46;53;10;55;[228, 9078, 9079]
229;46;54;4;40;[229, 9040, 9041]
230;46;55;8;55;[230, 9020, 9021]
