id;depart;arrivee;demand_business;demand_family;list_itineraires
1;1;4;4;45;[1, 89, 90]
2;1;5;2;35;[2]
3;1;6;4;45;[3, 101, 102]
4;1;7;6;30;[4]
5;2;4;10;45;[5, 133, 134]
6;2;5;10;50;[6, 155, 156]
7;2;6;4;30;[7, 167, 168]
8;2;7;4;45;[8, 145, 146]
9;3;4;6;35;[9]
10;3;5;10;40;[10, 201, 202]
11;3;6;4;55;[11, 189, 190]
12;3;7;10;30;[12]
13;4;8;2;50;[13, 253, 254]
14;4;9;2;45;[14, 273, 274]
15;4;10;4;40;[15, 263, 264]
16;4;11;6;40;[16, 243, 244]
17;5;8;10;55;[17, 305, 306]
18;5;9;10;50;[18, 295, 296]
19;5;10;8;40;[19, 285, 286]
20;5;11;6;60;[20]
21;6;8;2;55;[21]
22;6;9;2;50;[22, 329, 330]
23;6;10;10;60;[23, 319, 320]
24;6;11;10;30;[24, 339, 340]
25;7;8;10;55;[25, 353, 354]
26;7;9;8;50;[26]
27;7;10;10;45;[27]
28;7;11;6;50;[28, 363, 364]
29;8;12;2;60;[29, 377, 378]
30;8;13;2;30;[30, 379, 380]
31;9;12;4;50;[31, 387, 388]
32;9;13;2;45;[32, 385, 386]
33;10;12;4;35;[33, 395, 396]
34;10;13;4;50;[34, 393, 394]
35;11;12;4;55;[35, 403, 404]
36;11;13;10;60;[36, 401, 402]
37;12;14;4;40;[37]
38;12;15;8;50;[38]
39;13;14;6;50;[39]
40;13;15;6;55;[40]
41;1;8;10;45;[41, 93, 94, 123, 124]
42;1;9;2;30;[42, 97, 98, 105, 106, 113, 114]
43;1;10;4;35;[43, 95, 96, 103, 104]
44;1;11;4;60;[44, 91, 92, 107, 108]
45;2;8;4;35;[45, 137, 138, 147, 148, 161, 162]
46;2;9;4;50;[46, 141, 142, 159, 160, 171, 172]
47;2;10;8;55;[47, 139, 140, 157, 158, 169, 170]
48;2;11;2;60;[48, 135, 136, 149, 150, 173, 174, 179, 180]
49;3;8;2;50;[49, 207, 208, 223, 224]
50;3;9;10;55;[50, 193, 194, 205, 206, 233, 234]
51;3;10;6;45;[51, 191, 192, 203, 204, 213, 214]
52;3;11;2;45;[52, 195, 196]
53;4;12;6;35;[53, 247, 248, 255, 256, 267, 268, 277, 278, 283, 284]
54;4;13;10;45;[54, 245, 246, 257, 258, 265, 266, 275, 276]
55;5;12;10;45;[55, 289, 290, 299, 300, 307, 308, 315, 316]
56;5;13;4;45;[56, 287, 288, 297, 298, 309, 310, 317, 318]
57;6;12;4;30;[57, 323, 324, 333, 334, 343, 344, 349, 350]
58;6;13;2;30;[58, 321, 322, 331, 332, 341, 342, 351, 352]
59;7;12;6;45;[59, 355, 356, 367, 368, 375, 376]
60;7;13;10;30;[60, 357, 358, 365, 366, 373, 374]
61;8;14;6;45;[61, 383, 384]
62;8;15;2;55;[62, 381, 382]
63;9;14;10;35;[63, 389, 390]
64;9;15;6;40;[64, 391, 392]
65;10;14;2;50;[65, 397, 398]
66;10;15;8;55;[66, 399, 400]
67;11;14;8;30;[67, 405, 406]
68;11;15;6;45;[68, 407, 408]
69;1;12;4;60;[69, 99, 100, 109, 110, 117, 118, 125, 126]
70;1;13;8;35;[70, 111, 112, 115, 116, 127, 128]
71;2;12;10;30;[71, 143, 144, 153, 154, 163, 164, 175, 176, 183, 184]
72;2;13;4;40;[72, 151, 152, 165, 166, 177, 178, 181, 182]
73;3;12;4;30;[73, 197, 198, 209, 210, 217, 218, 225, 226, 237, 238]
74;3;13;6;50;[74, 199, 200, 211, 212, 215, 216, 227, 228, 235, 236]
75;4;14;8;55;[75, 249, 250, 261, 262, 269, 270, 279, 280]
76;4;15;8;40;[76, 251, 252, 259, 260, 271, 272, 281, 282]
77;5;14;10;60;[77, 291, 292, 301, 302, 313, 314]
78;5;15;6;45;[78, 293, 294, 303, 304, 311, 312]
79;6;14;2;55;[79, 325, 326, 335, 336, 345, 346]
80;6;15;6;30;[80, 327, 328, 337, 338, 347, 348]
81;7;14;2;50;[81, 361, 362, 369, 370]
82;7;15;2;35;[82, 359, 360, 371, 372]
83;1;14;4;45;[83, 119, 120, 131, 132]
84;1;15;2;30;[84, 121, 122, 129, 130]
85;2;14;8;35;[85, 185, 186]
86;2;15;6;35;[86, 187, 188]
87;3;14;4;60;[87, 219, 220, 231, 232, 239, 240]
88;3;15;6;30;[88, 221, 222, 229, 230, 241, 242]
