id;depart;arrivee;capacite du vol;list_itineraires
1;1;4;90;[1, 103, 104]
2;1;6;50;[3, 119, 120]
3;1;7;80;[43, 129, 130]
4;1;8;90;[44, 139, 140]
5;1;9;90;[45, 151, 152]
6;1;10;70;[46, 163, 164]
7;2;6;70;[6, 175, 176]
8;2;4;60;[4, 185, 186]
9;2;5;80;[5, 201, 202]
10;2;9;80;[49, 215, 216]
11;2;10;80;[50, 227, 228]
12;2;7;80;[47, 239, 240]
13;2;8;100;[48, 249, 250]
14;3;6;60;[9, 261, 262]
15;3;5;90;[8, 271, 272]
16;3;9;80;[53, 285, 286]
17;3;10;100;[54, 297, 298]
18;4;8;50;[11, 105, 106, 187, 188, 309, 310]
19;4;7;80;[10, 107, 108, 189, 190, 321, 322]
20;4;9;50;[12, 109, 110, 191, 192, 331, 332]
21;4;10;90;[13, 111, 112, 193, 194, 343, 344]
22;4;11;70;[55, 113, 114, 195, 196, 355, 356]
23;4;12;70;[56, 115, 116, 197, 198, 357, 358]
24;4;13;70;[57, 117, 118, 199, 200, 359, 360]
25;5;9;100;[16, 203, 204, 273, 274, 361, 362]
26;5;10;70;[17, 205, 206, 275, 276, 373, 374]
27;5;8;60;[15, 207, 208, 277, 278, 385, 386]
28;5;11;90;[58, 209, 210, 279, 280, 397, 398]
29;5;12;60;[59, 211, 212, 281, 282, 399, 400]
30;5;13;90;[60, 213, 214, 283, 284, 401, 402]
31;6;7;100;[18, 121, 122, 177, 178, 263, 264, 403, 404]
32;6;10;80;[21, 123, 124, 179, 180, 265, 266, 413, 414]
33;6;11;70;[61, 125, 126, 181, 182, 267, 268, 425, 426]
34;6;13;100;[63, 127, 128, 183, 184, 269, 270, 427, 428]
35;7;12;90;[23, 131, 132, 241, 242, 323, 324, 405, 406, 429, 430]
36;7;13;60;[24, 133, 134, 243, 244, 325, 326, 407, 408, 431, 432]
37;7;15;100;[65, 135, 136, 245, 246, 327, 328, 409, 410, 433, 434]
38;7;16;100;[66, 137, 138, 247, 248, 329, 330, 411, 412, 435, 436]
39;8;12;60;[26, 141, 142, 251, 252, 311, 312, 387, 388, 437, 438]
40;8;11;80;[25, 143, 144, 253, 254, 313, 314, 389, 390, 439, 440]
41;8;13;50;[27, 145, 146, 255, 256, 315, 316, 391, 392, 441, 442]
42;8;16;60;[69, 147, 148, 257, 258, 317, 318, 393, 394, 443, 444]
43;8;14;50;[67, 149, 150, 259, 260, 319, 320, 395, 396, 445, 446]
44;9;13;70;[30, 153, 154, 217, 218, 287, 288, 333, 334, 363, 364, 447, 448]
45;9;12;80;[29, 155, 156, 219, 220, 289, 290, 335, 336, 365, 366, 449, 450]
46;9;11;70;[28, 157, 158, 221, 222, 291, 292, 337, 338, 367, 368, 451, 452]
47;9;14;60;[70, 159, 160, 223, 224, 293, 294, 339, 340, 369, 370, 453, 454]
48;9;15;100;[71, 161, 162, 225, 226, 295, 296, 341, 342, 371, 372, 455, 456]
49;10;13;80;[33, 165, 166, 229, 230, 299, 300, 345, 346, 375, 376, 415, 416, 457, 458]
50;10;11;60;[31, 167, 168, 231, 232, 301, 302, 347, 348, 377, 378, 417, 418, 459, 460]
51;10;12;50;[32, 169, 170, 233, 234, 303, 304, 349, 350, 379, 380, 419, 420, 461, 462]
52;10;14;60;[73, 171, 172, 235, 236, 305, 306, 351, 352, 381, 382, 421, 422, 463, 464]
53;10;15;60;[74, 173, 174, 237, 238, 307, 308, 353, 354, 383, 384, 423, 424, 465, 466]
