id;depart;arrivee;OnD;list_airports;alpha;list_flights
1;1;4;1;[];0.40086618755309056;[1]
2;1;5;2;[];0.689200165663705;[0]
3;1;6;3;[];0.4692617492762776;[2]
4;1;7;4;[];0.9276524211632766;[0]
5;2;4;5;[];0.552606856173774;[5]
6;2;5;6;[];0.028615630528367797;[7]
7;2;6;7;[];0.17167233254288372;[8]
8;2;7;8;[];0.25169833205507675;[6]
9;3;4;9;[];0.4466158495110084;[0]
10;3;5;10;[];0.820073391155882;[11]
11;3;6;11;[];0.5716166703557615;[10]
12;3;7;12;[];0.006935065539731555;[0]
13;4;8;13;[];0.4661417245094408;[16]
14;4;9;14;[];0.008111152057568516;[18]
15;4;10;15;[];0.40958038688613585;[17]
16;4;11;16;[];0.8982025110094147;[15]
17;5;8;17;[];0.6793141072901165;[22]
18;5;9;18;[];0.3202855772797055;[21]
19;5;10;19;[];0.948707726467094;[20]
20;5;11;20;[];0.8635261815936333;[0]
21;6;8;21;[];0.09165491746242993;[0]
22;6;9;22;[];0.3425540466828991;[26]
23;6;10;23;[];0.44002847876181606;[25]
24;6;11;24;[];0.2966670568983458;[27]
25;7;8;25;[];0.06469018104739388;[30]
26;7;9;26;[];0.19889499589927495;[0]
27;7;10;27;[];0.2398508396274024;[0]
28;7;11;28;[];0.6823460250954423;[31]
29;8;12;29;[];0.2442799093164001;[34]
30;8;13;30;[];0.6345690015279728;[35]
31;9;12;31;[];0.33296031473507726;[39]
32;9;13;32;[];0.7203767484348396;[38]
33;10;12;33;[];0.7562240067481789;[43]
34;10;13;34;[];0.47319217356096166;[42]
35;11;12;35;[];0.7709537517026392;[47]
36;11;13;36;[];0.8039673398823193;[46]
37;12;14;37;[];0.7232566764443065;[0]
38;12;15;38;[];0.9430534356749574;[0]
39;13;14;39;[];0.027660628644426977;[0]
40;13;15;40;[];0.3724971516629414;[0]
41;1;8;41;[];0.6254805235158651;[4]
42;1;9;42;[];0.5493185093626685;[3]
43;1;10;43;[];0.2599609344406937;[0]
44;1;11;44;[];0.35001274533318427;[0]
45;2;8;45;[];0.05428948589787663;[0]
46;2;9;46;[];0.20683224150509916;[0]
47;2;10;47;[];0.08319068307875055;[0]
48;2;11;48;[];0.09607019879557632;[9]
49;3;8;49;[];0.21675652027360437;[13]
50;3;9;50;[];0.12385670396366288;[14]
51;3;10;51;[];0.38515403214185007;[12]
52;3;11;52;[];0.2655828147100092;[0]
53;4;12;53;[];0.559126579800715;[19]
54;4;13;54;[];0.4397689362361843;[0]
55;5;12;55;[];0.4900013487682233;[23]
56;5;13;56;[];0.5860303799352677;[24]
57;6;12;57;[];0.6847963682771254;[28]
58;6;13;58;[];0.8250829419291772;[29]
59;7;12;59;[];0.880314960140838;[33]
60;7;13;60;[];0.8639590385936824;[32]
61;8;14;61;[];0.868355440206299;[37]
62;8;15;62;[];0.4161828068883746;[36]
63;9;14;63;[];0.3026340757756547;[40]
64;9;15;64;[];0.9355318741059591;[41]
65;10;14;65;[];0.8104594182726574;[44]
66;10;15;66;[];0.34127874433129346;[45]
67;11;14;67;[];0.41925512481468474;[48]
68;11;15;68;[];0.44985001500353894;[49]
69;1;12;69;[];0.32405916061711393;[0]
70;1;13;70;[];0.7057397395783915;[0]
71;2;12;71;[];0.6990312575066995;[0]
72;2;13;72;[];0.20704311841078238;[0]
73;3;12;73;[];0.730815192802911;[0]
74;3;13;74;[];0.7862247972491294;[0]
75;4;14;75;[];0.1819973067282603;[0]
76;4;15;76;[];0.7046868343430908;[0]
77;5;14;77;[];0.7525077664440911;[0]
78;5;15;78;[];0.7111720540873427;[0]
79;6;14;79;[];0.31645986719406793;[0]
80;6;15;80;[];0.9712178018863251;[0]
81;7;14;81;[];0.7875909166989097;[0]
82;7;15;82;[];0.4272900904518089;[0]
83;1;14;83;[];0.3096110521783224;[0]
84;1;15;84;[];0.3983251385950741;[0]
85;2;14;85;[];0.05647651967588252;[0]
86;2;15;86;[];0.19744529477924622;[0]
87;3;14;87;[];0.3078234093102803;[0]
88;3;15;88;[];0.5239373987237079;[0]
89;1;4;1;[1, 4];0.5869499947389232;[1]
90;1;4;1;[1, 4];1.6212893520980534;[1]
91;1;11;44;[1, 4, 11];0.48567009564444397;[1, 15]
92;1;11;44;[1, 4, 11];1.7380519447035998;[1, 15]
93;1;8;41;[1, 4, 8];0.47859063299191074;[1, 16]
94;1;8;41;[1, 4, 8];1.4694327942879395;[1, 16]
95;1;10;43;[1, 4, 10];0.0886568037747979;[1, 17]
96;1;10;43;[1, 4, 10];1.7539342059747938;[1, 17]
97;1;9;42;[1, 4, 9];0.2883706996547508;[1, 18]
98;1;9;42;[1, 4, 9];1.4233868897700328;[1, 18]
99;1;12;69;[1, 4, 12];0.5307383360484952;[1, 19]
100;1;12;69;[1, 4, 12];1.2375746303536024;[1, 19]
101;1;6;3;[1, 6];0.8912564626787223;[2]
102;1;6;3;[1, 6];1.9491059651916987;[2]
103;1;10;43;[1, 6, 10];0.6637752525784948;[2, 25]
104;1;10;43;[1, 6, 10];1.9758416886822652;[2, 25]
105;1;9;42;[1, 6, 9];0.25225955654904664;[2, 26]
106;1;9;42;[1, 6, 9];1.8223913226334272;[2, 26]
107;1;11;44;[1, 6, 11];0.9137038776812649;[2, 27]
108;1;11;44;[1, 6, 11];1.5925375099385337;[2, 27]
109;1;12;69;[1, 6, 12];0.3206207837113;[2, 28]
110;1;12;69;[1, 6, 12];1.2297863824178077;[2, 28]
111;1;13;70;[1, 6, 13];0.23460739340854087;[2, 29]
112;1;13;70;[1, 6, 13];1.036166848233809;[2, 29]
113;1;9;42;[1, 9];0.2565394846645006;[3]
114;1;9;42;[1, 9];1.6201801232147581;[3]
115;1;13;70;[1, 9, 13];0.6793556704210246;[3, 38]
116;1;13;70;[1, 9, 13];1.0904456481174516;[3, 38]
117;1;12;69;[1, 9, 12];0.04949823340887516;[3, 39]
118;1;12;69;[1, 9, 12];1.8690164654137114;[3, 39]
119;1;14;83;[1, 9, 14];0.8148441888554727;[3, 40]
120;1;14;83;[1, 9, 14];1.9880768173995769;[3, 40]
121;1;15;84;[1, 9, 15];0.304815759236307;[3, 41]
122;1;15;84;[1, 9, 15];1.8965820242788496;[3, 41]
123;1;8;41;[1, 8];0.810819935565928;[4]
124;1;8;41;[1, 8];1.10988151326272;[4]
125;1;12;69;[1, 8, 12];0.4065336372637651;[4, 34]
126;1;12;69;[1, 8, 12];1.964613694534106;[4, 34]
127;1;13;70;[1, 8, 13];0.6935747102927035;[4, 35]
128;1;13;70;[1, 8, 13];1.4465652724492808;[4, 35]
129;1;15;84;[1, 8, 15];0.5071164050709822;[4, 36]
130;1;15;84;[1, 8, 15];1.7217213888314191;[4, 36]
131;1;14;83;[1, 8, 14];0.3544840260646116;[4, 37]
132;1;14;83;[1, 8, 14];1.955353544888512;[4, 37]
133;2;4;5;[2, 4];0.5328028361072512;[5]
