id;depart;arrivee;demand_business;demand_family;list_itineraires
1;1;3;2;60;[1, 76, 77]
2;1;4;2;55;[2, 88, 89]
3;2;3;10;40;[3, 128, 129]
4;2;4;10;50;[4, 120, 121]
5;3;5;10;50;[5, 164, 165]
6;3;6;8;40;[6, 174, 175]
7;4;5;6;30;[7, 208, 209]
8;4;6;6;50;[8, 194, 195]
9;5;7;6;60;[9, 224, 225]
10;5;8;8;50;[10, 222, 223]
11;5;9;10;35;[11, 220, 221]
12;6;7;10;30;[12, 228, 229]
13;6;8;4;45;[13, 230, 231]
14;6;9;4;45;[14, 232, 233]
15;7;10;10;35;[15]
16;7;11;10;40;[16]
17;7;12;6;55;[17]
18;7;13;2;40;[18]
19;7;14;6;50;[19]
20;8;10;6;55;[20]
21;8;11;2;55;[21]
22;8;12;8;55;[22]
23;8;13;8;30;[23]
24;8;14;4;35;[24]
25;9;10;2;55;[25]
26;9;11;6;30;[26]
27;9;12;6;35;[27]
28;9;13;6;55;[28]
29;9;14;8;35;[29]
30;1;5;4;30;[30, 78, 79, 92, 93, 110, 111]
31;1;6;10;50;[31, 80, 81, 90, 91, 96, 97]
32;2;5;2;40;[32, 124, 125, 130, 131, 154, 155]
33;2;6;8;45;[33, 122, 123, 132, 133, 140, 141]
34;3;7;10;60;[34, 170, 171, 176, 177, 188, 189]
35;3;8;2;45;[35, 168, 169, 178, 179, 190, 191]
36;3;9;8;45;[36, 166, 167, 180, 181, 192, 193]
37;4;7;2;40;[37, 196, 197, 214, 215]
38;4;8;8;40;[38, 198, 199, 212, 213, 218, 219]
39;4;9;6;50;[39, 200, 201, 210, 211]
40;5;10;4;60;[40]
41;5;11;6;60;[41]
42;5;12;8;40;[42]
43;5;13;2;50;[43, 226, 227]
44;5;14;6;40;[44]
45;6;10;2;60;[45, 234, 235]
46;6;11;2;45;[46, 236, 237]
47;6;12;10;50;[47]
48;6;13;8;45;[48]
49;6;14;4;35;[49, 238, 239]
50;1;7;10;40;[50, 82, 83, 98, 99, 116, 117]
51;1;8;2;55;[51, 84, 85, 94, 95, 100, 101, 114, 115]
52;1;9;4;35;[52, 86, 87, 102, 103, 112, 113]
53;2;7;2;60;[53, 134, 135, 142, 143, 160, 161]
54;2;8;2;35;[54, 126, 127, 136, 137, 144, 145, 158, 159]
55;2;9;4;45;[55, 138, 139, 146, 147, 156, 157]
56;3;10;6;50;[56, 182, 183]
57;3;11;6;30;[57, 184, 185]
58;3;12;10;30;[58]
59;3;13;6;30;[59, 172, 173]
60;3;14;2;30;[60, 186, 187]
61;4;10;6;45;[61, 202, 203]
62;4;11;10;55;[62, 204, 205]
63;4;12;4;30;[63]
64;4;13;2;60;[64, 216, 217]
65;4;14;10;50;[65, 206, 207]
66;1;10;6;40;[66, 104, 105]
67;1;11;10;30;[67, 106, 107]
68;1;12;4;35;[68]
69;1;13;6;30;[69, 118, 119]
70;1;14;4;35;[70, 108, 109]
71;2;10;6;45;[71, 148, 149]
72;2;11;8;45;[72, 150, 151]
73;2;12;8;60;[73]
74;2;13;2;40;[74, 162, 163]
75;2;14;10;50;[75, 152, 153]
