id;depart;arrivee;capacite du vol;list_itineraires
1;1;3;60;[76, 77]
2;1;4;100;[88, 89]
3;1;6;100;[96, 97]
4;1;5;90;[110, 111]
5;2;4;100;[120, 121]
6;2;3;80;[128, 129]
7;2;6;100;[140, 141]
8;2;5;70;[154, 155]
9;3;5;60;[78, 79, 130, 131, 164, 165]
10;3;6;80;[80, 81, 132, 133, 174, 175]
11;3;7;90;[82, 83, 134, 135, 188, 189]
12;3;8;80;[84, 85, 136, 137, 190, 191]
13;3;9;60;[86, 87, 138, 139, 192, 193]
14;4;6;100;[90, 91, 122, 123, 194, 195]
15;4;5;100;[92, 93, 124, 125, 208, 209]
16;4;8;50;[94, 95, 126, 127, 218, 219]
17;5;9;70;[112, 113, 156, 157, 166, 167, 210, 211, 220, 221]
18;5;8;80;[114, 115, 158, 159, 168, 169, 212, 213, 222, 223]
19;5;7;70;[116, 117, 160, 161, 170, 171, 214, 215, 224, 225]
20;5;13;60;[118, 119, 162, 163, 172, 173, 216, 217, 226, 227]
21;6;7;90;[98, 99, 142, 143, 176, 177, 196, 197, 228, 229]
22;6;8;70;[100, 101, 144, 145, 178, 179, 198, 199, 230, 231]
23;6;9;70;[102, 103, 146, 147, 180, 181, 200, 201, 232, 233]
24;6;10;70;[104, 105, 148, 149, 182, 183, 202, 203, 234, 235]
25;6;11;80;[106, 107, 150, 151, 184, 185, 204, 205, 236, 237]
26;6;14;80;[108, 109, 152, 153, 186, 187, 206, 207, 238, 239]
