id;depart;arrivee;OnD;list_airports;alpha;list_flights
1;1;6;1;[];0.8062607239741839;[]
2;1;7;2;[];0.9094603378094341;[]
3;1;8;3;[];0.051810078571855156;[]
4;1;9;4;[];0.1605109218797891;[]
5;1;10;5;[];0.9168244861892363;[]
6;2;6;6;[];0.5160581840828828;[]
7;2;7;7;[];0.15484815519492456;[]
8;2;8;8;[];0.6862993334935594;[]
9;2;9;9;[];0.7407843635592308;[]
10;2;10;10;[];0.8752586068420134;[]
11;3;6;11;[];0.3810113228038112;[]
12;3;7;12;[];0.7915215998891878;[]
13;3;8;13;[];0.007807833285352173;[]
14;3;9;14;[];0.7433332581547105;[]
15;3;10;15;[];0.14100945300656598;[]
16;4;6;16;[];0.28591102833304394;[]
17;4;7;17;[];0.22197862428220327;[]
18;4;8;18;[];0.731639790147123;[]
19;4;9;19;[];0.9742207730762831;[]
20;4;10;20;[];0.18908287258667955;[]
21;5;6;21;[];0.9746907023860936;[]
22;5;7;22;[];0.1767343171449538;[]
23;5;8;23;[];0.6246823887793282;[]
24;5;9;24;[];0.25531886449409846;[]
25;5;10;25;[];0.8130738458657283;[]
26;6;11;26;[];0.05915488408964564;[]
27;6;12;27;[];0.29463508041192954;[]
28;6;13;28;[];0.2851258502404359;[]
29;6;14;29;[];0.37714257604034196;[]
30;6;15;30;[];0.07518776395584692;[]
31;7;11;31;[];0.3235809867731432;[]
32;7;12;32;[];0.5066727976697498;[]
33;7;13;33;[];0.9174443148944909;[]
34;7;14;34;[];0.4710555264225822;[]
35;7;15;35;[];0.8891418426782765;[]
36;8;11;36;[];0.16120456752276846;[]
37;8;12;37;[];0.8054283844509658;[]
38;8;13;38;[];0.9172117868786127;[]
39;8;14;39;[];0.3245674644770904;[]
40;8;15;40;[];0.22577820048453967;[]
41;9;11;41;[];0.6473965396427257;[]
42;9;12;42;[];0.5900680139706207;[]
43;9;13;43;[];0.29929733443107787;[]
44;9;14;44;[];0.4903043295549736;[]
45;9;15;45;[];0.030085364375374235;[]
46;10;11;46;[];0.4957556345106169;[]
47;10;12;47;[];0.2706444639203667;[]
48;10;13;48;[];0.8465791720761047;[]
49;10;14;49;[];0.4471637326713551;[]
50;10;15;50;[];0.14098790503789305;[]
51;11;16;51;[];0.30607901536098137;[]
52;11;17;52;[];0.2422681810267484;[]
53;11;18;53;[];0.736841095807907;[]
54;11;19;54;[];0.9168947551665811;[]
55;11;20;55;[];0.600925067622804;[]
56;12;16;56;[];0.47016277605301626;[]
57;12;17;57;[];0.20102495306491663;[]
58;12;18;58;[];0.42980413878170065;[]
59;12;19;59;[];0.1633040083090571;[]
60;12;20;60;[];0.2516482904601076;[]
61;13;16;61;[];0.026731105261170285;[]
62;13;17;62;[];0.1142515838892244;[]
63;13;18;63;[];0.40957795804627484;[]
64;13;19;64;[];0.7226851086974837;[]
65;13;20;65;[];0.6999198233680397;[]
66;14;16;66;[];0.7934127738794889;[]
67;14;17;67;[];0.7210512490385959;[]
68;14;18;68;[];0.8903519534392541;[]
69;14;19;69;[];0.7182181916348997;[]
70;14;20;70;[];0.5025296450675469;[]
71;15;16;71;[];0.2887120375660115;[]
72;15;17;72;[];0.4602190357767124;[]
73;15;18;73;[];0.5167982409767213;[]
74;15;19;74;[];0.45957112543180756;[]
75;15;20;75;[];0.5169915371727862;[]
76;16;21;76;[];0.7657074986692849;[]
77;16;22;77;[];0.7353920055969481;[]
78;16;23;78;[];0.761817139379978;[]
79;16;24;79;[];0.09873348240397228;[]
80;16;25;80;[];0.6255766051291736;[]
81;17;21;81;[];0.8289519919382646;[]
82;17;22;82;[];0.22624213230682066;[]
83;17;23;83;[];0.8921848799832774;[]
