id;depart;arrivee;demand_business;demand_family;list_itineraires
1;1;6;10;35;[1, 773, 774]
2;1;7;10;35;[2, 751, 752]
3;1;8;6;45;[3, 713, 714]
4;1;9;8;30;[4, 733, 734]
5;1;10;6;55;[5, 691, 692]
6;2;6;10;35;[6, 879, 880]
7;2;7;4;40;[7]
8;2;8;2;35;[8, 937, 938]
9;2;9;2;35;[9, 919, 920]
10;2;10;6;45;[10, 897, 898]
11;3;6;8;40;[11, 1057, 1058]
12;3;7;10;60;[12, 1075, 1076]
13;3;8;10;60;[13, 997, 998]
14;3;9;10;55;[14, 1039, 1040]
15;3;10;8;60;[15, 1017, 1018]
16;4;6;8;35;[16, 1215, 1216]
17;4;7;4;30;[17, 1153, 1154]
18;4;8;8;60;[18, 1133, 1134]
19;4;9;8;45;[19, 1175, 1176]
20;4;10;2;30;[20, 1193, 1194]
21;5;6;4;30;[21, 1341, 1342]
22;5;7;10;30;[22, 1359, 1360]
23;5;8;6;30;[23, 1321, 1322]
24;5;9;2;45;[24, 1381, 1382]
25;5;10;10;45;[25]
26;6;11;2;55;[26, 1431, 1432]
27;6;12;8;50;[27, 1499, 1500]
28;6;13;6;50;[28, 1451, 1452]
29;6;14;8;60;[29, 1483, 1484]
30;6;15;10;35;[30, 1467, 1468]
31;7;11;8;60;[31, 1619, 1620]
32;7;12;2;35;[32, 1639, 1640]
33;7;13;8;45;[33, 1603, 1604]
34;7;14;6;30;[34, 1587, 1588]
35;7;15;4;60;[35, 1571, 1572]
36;8;11;10;40;[36, 1795, 1796]
37;8;12;8;45;[37, 1775, 1776]
38;8;13;10;45;[38, 1759, 1760]
39;8;14;2;30;[39, 1743, 1744]
40;8;15;6;35;[40]
41;9;11;6;40;[41, 1967, 1968]
42;9;12;2;40;[42, 1947, 1948]
43;9;13;4;55;[43, 1915, 1916]
44;9;14;8;30;[44, 1931, 1932]
45;9;15;6;30;[45, 1899, 1900]
46;10;11;8;50;[46, 2051, 2052]
47;10;12;8;55;[47, 2071, 2072]
48;10;13;8;45;[48, 2091, 2092]
49;10;14;2;50;[49, 2035, 2036]
50;10;15;10;60;[50, 2107, 2108]
51;11;16;2;45;[51, 2239, 2240]
52;11;17;2;60;[52]
53;11;18;2;55;[53, 2255, 2256]
54;11;19;10;35;[54, 2223, 2224]
55;11;20;2;60;[55, 2207, 2208]
56;12;16;2;30;[56, 2365, 2366]
57;12;17;10;55;[57, 2345, 2346]
58;12;18;10;60;[58]
59;12;19;4;40;[59, 2397, 2398]
60;12;20;2;45;[60, 2381, 2382]
61;13;16;10;55;[61, 2535, 2536]
62;13;17;10;45;[62, 2551, 2552]
63;13;18;8;55;[63, 2503, 2504]
64;13;19;8;35;[64, 2519, 2520]
65;13;20;4;35;[65, 2487, 2488]
66;14;16;6;45;[66, 2619, 2620]
67;14;17;6;40;[67, 2635, 2636]
68;14;18;10;40;[68, 2603, 2604]
69;14;19;2;60;[69, 2655, 2656]
70;14;20;4;55;[70]
71;15;16;4;55;[71, 2731, 2732]
72;15;17;4;30;[72, 2763, 2764]
73;15;18;2;55;[73, 2783, 2784]
74;15;19;10;45;[74, 2747, 2748]
75;15;20;2;55;[75, 2715, 2716]
76;16;21;6;35;[76, 2829, 2830]
77;16;22;6;40;[77, 2873, 2874]
78;16;23;10;30;[78, 2845, 2846]
79;16;24;2;40;[79, 2859, 2860]
80;16;25;2;50;[80, 2889, 2890]
81;17;21;8;35;[81, 2995, 2996]
82;17;22;10;40;[82, 2965, 2966]
83;17;23;10;60;[83, 2981, 2982]
84;17;24;8;35;[84, 2937, 2938]
85;17;25;2;45;[85, 2951, 2952]
86;18;21;2;35;[86, 3095, 3096]
87;18;22;4;30;[87, 3125, 3126]
88;18;23;6;50;[88, 3081, 3082]
89;18;24;8;50;[89, 3111, 3112]
90;18;25;10;50;[90]
91;19;21;8;55;[91, 3195, 3196]
92;19;22;6;60;[92, 3211, 3212]
93;19;23;2;55;[93, 3241, 3242]
94;19;24;8;60;[94, 3227, 3228]
95;19;25;8;40;[95, 3255, 3256]
96;20;21;8;30;[96, 3303, 3304]
97;20;22;6;40;[97, 3347, 3348]
98;20;23;8;45;[98, 3333, 3334]
99;20;24;10;30;[99, 3319, 3320]
100;20;25;10;40;[100]
101;21;26;2;30;[101, 3417, 3418]
102;21;27;10;35;[102, 3467, 3468]
103;21;28;10;30;[103, 3435, 3436]
104;21;29;2;60;[104, 3451, 3452]
105;22;26;2;35;[105, 3555, 3556]
106;22;27;8;30;[106, 3589, 3590]
107;22;28;6;45;[107, 3539, 3540]
108;22;29;2;35;[108, 3573, 3574]
109;23;26;8;60;[109, 3695, 3696]
110;23;27;2;50;[110, 3659, 3660]
111;23;28;2;45;[111, 3679, 3680]
112;23;29;8;35;[112, 3713, 3714]
113;24;26;10;35;[113, 3781, 3782]
114;24;27;4;50;[114, 3799, 3800]
115;24;28;8;40;[115, 3765, 3766]
116;24;29;4;50;[116, 3819, 3820]
117;25;26;8;40;[117, 3871, 3872]
118;25;27;4;30;[118, 3905, 3906]
119;25;28;2;30;[119, 3925, 3926]
120;25;29;10;45;[120, 3889, 3890]
121;26;30;4;60;[121, 4027, 4028]
122;26;31;6;50;[122]
123;26;32;2;50;[123, 4011, 4012]
124;26;33;6;45;[124, 3993, 3994]
125;26;34;6;35;[125, 3975, 3976]
126;26;35;10;35;[126]
127;27;30;2;40;[127, 4163, 4164]
128;27;31;2;55;[128, 4129, 4130]
129;27;32;2;40;[129, 4113, 4114]
130;27;33;8;35;[130, 4181, 4182]
131;27;34;10;45;[131]
132;27;35;4;35;[132, 4147, 4148]
133;28;30;4;50;[133, 4317, 4318]
134;28;31;4;60;[134]
135;28;32;2;50;[135, 4267, 4268]
136;28;33;10;60;[136, 4299, 4300]
137;28;34;10;50;[137, 4335, 4336]
138;28;35;10;50;[138, 4283, 4284]
139;29;30;10;55;[139, 4405, 4406]
140;29;31;8;50;[140, 4441, 4442]
141;29;32;8;35;[141]
142;29;33;2;35;[142, 4387, 4388]
143;29;34;10;45;[143, 4423, 4424]
144;29;35;4;40;[144, 4459, 4460]
145;30;36;8;45;[145, 4529, 4530]
146;30;37;2;30;[146, 4563, 4564]
147;30;38;6;30;[147, 4513, 4514]
148;30;39;8;55;[148, 4543, 4544]
149;31;36;8;30;[149, 4589, 4590]
150;31;37;2;60;[150, 4623, 4624]
