id;depart;arrivee;OnD;list_airports;alpha;list_flights
1;1;6;1;[];0.493810224179553;[]
2;1;7;2;[];0.7467277816287736;[]
3;1;8;3;[];0.07794872636108363;[]
4;1;9;4;[];0.9521161812657268;[]
5;1;10;5;[];0.17897097442860344;[]
6;2;6;6;[];0.6924508014999686;[]
7;2;7;7;[];0.5104426933599597;[]
8;2;8;8;[];0.5340374958529441;[]
9;2;9;9;[];0.31684249867405767;[]
10;2;10;10;[];0.09630261959871445;[]
11;3;6;11;[];0.2752553405051268;[]
12;3;7;12;[];0.7149556297945971;[]
13;3;8;13;[];0.4319279596324419;[]
14;3;9;14;[];0.85310981338677;[]
15;3;10;15;[];0.04591274632685316;[]
16;4;6;16;[];0.10982063619337934;[]
17;4;7;17;[];0.7812015214965773;[]
18;4;8;18;[];0.20103714995801725;[]
19;4;9;19;[];0.1254899441189785;[]
20;4;10;20;[];0.39926334588760803;[]
21;5;6;21;[];0.44597352709449734;[]
22;5;7;22;[];0.04275169877858742;[]
23;5;8;23;[];0.6011292720151975;[]
24;5;9;24;[];0.08567128927319234;[]
25;5;10;25;[];0.09485605270023911;[]
26;6;11;26;[];0.8914466615783527;[]
27;6;12;27;[];0.6789635971912751;[]
28;6;13;28;[];0.6273866072276071;[]
29;6;14;29;[];0.3815950584796688;[]
30;6;15;30;[];0.5077567885604113;[]
31;7;11;31;[];0.18454995315587364;[]
32;7;12;32;[];0.7022961233397886;[]
33;7;13;33;[];0.6970517852434266;[]
34;7;14;34;[];0.9948498476117706;[]
35;7;15;35;[];0.5538357670109866;[]
36;8;11;36;[];0.9931575436675391;[]
37;8;12;37;[];0.8147460671399176;[]
38;8;13;38;[];0.46072817008877665;[]
39;8;14;39;[];0.14892264425817547;[]
40;8;15;40;[];0.51723528400293;[]
41;9;11;41;[];0.8838342153767651;[]
42;9;12;42;[];0.3566284740196288;[]
43;9;13;43;[];0.498661141160996;[]
44;9;14;44;[];0.13868930778180122;[]
45;9;15;45;[];0.8050852173245455;[]
46;10;11;46;[];0.9859002917253632;[]
47;10;12;47;[];0.5100306799773795;[]
48;10;13;48;[];0.665996228952948;[]
49;10;14;49;[];0.26720013720059343;[]
50;10;15;50;[];0.5713704135531543;[]
51;11;16;51;[];0.6023997205495384;[]
52;11;17;52;[];0.5152055872929824;[]
53;11;18;53;[];0.5025085420791884;[]
54;11;19;54;[];0.0997652281834176;[]
55;11;20;55;[];0.5988248431716094;[]
56;12;16;56;[];0.5302462742168383;[]
57;12;17;57;[];0.29866026296527903;[]
58;12;18;58;[];0.7432241622075926;[]
59;12;19;59;[];0.5994056433512758;[]
60;12;20;60;[];0.6042987098086745;[]
61;13;16;61;[];0.2162892632361324;[]
62;13;17;62;[];0.9799190773673692;[]
