id;depart;arrivee;OnD;list_airports;alpha;list_flights
1;1;4;1;[];0.2406731816314791;[1]
2;1;5;2;[];0.10744475125153219;[4]
3;1;6;3;[];0.21494603251618605;[5]
4;1;7;4;[];0.14502940432408273;[3]
5;1;8;5;[];0.4728573456792169;[0]
6;1;9;6;[];0.15686075113206432;[2]
7;2;4;7;[];0.8010401373793021;[10]
8;2;5;8;[];0.28814939422791874;[13]
9;2;6;9;[];0.8571442145558459;[11]
10;2;7;10;[];0.3421990812610911;[0]
11;2;8;11;[];0.5298052476828972;[12]
12;2;9;12;[];0.2640191453997136;[0]
13;3;4;13;[];0.8766700734955244;[0]
14;3;5;14;[];0.29759910417359325;[20]
15;3;6;15;[];0.4112037021585171;[18]
16;3;7;16;[];0.6970109829170488;[22]
17;3;8;17;[];0.9129034770489892;[19]
18;3;9;18;[];0.5914962939830888;[21]
19;4;10;19;[];0.1322820255917836;[0]
20;4;11;20;[];0.5710400599286571;[26]
21;4;12;21;[];0.7929068595365469;[27]
22;4;13;22;[];0.18743911456462747;[28]
23;4;14;23;[];0.6876522213023291;[0]
24;5;10;24;[];0.5630577278989033;[35]
25;5;11;25;[];0.9074469773049376;[32]
26;5;12;26;[];0.8435046171791856;[33]
27;5;13;27;[];0.14693908706069903;[0]
28;5;14;28;[];0.5598065232808209;[34]
29;6;10;29;[];0.8900133680538116;[40]
30;6;11;30;[];0.009048907827042818;[42]
31;6;12;31;[];0.48550146068623956;[0]
32;6;13;32;[];0.6130994916990133;[41]
33;6;14;33;[];0.289745960869058;[0]
34;7;10;34;[];0.6505955288724072;[46]
35;7;11;35;[];0.714322824244864;[47]
36;7;12;36;[];0.952476830616332;[48]
37;7;13;37;[];0.7466365078699855;[45]
38;7;14;38;[];0.7095162865250209;[0]
39;8;10;39;[];0.027006893230242746;[54]
40;8;11;40;[];0.9835495539823345;[51]
41;8;12;41;[];0.8148533482761413;[52]
42;8;13;42;[];0.9589484359435188;[0]
43;8;14;43;[];0.23235357500363008;[53]
44;9;10;44;[];0.4602288356147415;[60]
45;9;11;45;[];0.3712808168230892;[58]
46;9;12;46;[];0.6798056842703577;[62]
47;9;13;47;[];0.5356539930245523;[59]
48;9;14;48;[];0.1259764070895173;[61]
49;10;15;49;[];0.1873870257375816;[68]
50;10;16;50;[];0.2463256332854442;[67]
51;10;17;51;[];0.857504980310577;[65]
52;10;18;52;[];0.9650561778294999;[66]
53;11;15;53;[];0.4677030430691358;[74]
54;11;16;54;[];0.08714833351141116;[73]
55;11;17;55;[];0.3042499672395136;[75]
56;11;18;56;[];0.10436586390684521;[0]
57;12;15;57;[];0.47483166865000115;[80]
58;12;16;58;[];0.15632400629686893;[81]
59;12;17;59;[];0.6382193123111364;[82]
60;12;18;60;[];0.22536895173805438;[83]
61;13;15;61;[];0.387979196136367;[90]
62;13;16;62;[];0.8248267994826852;[88]
63;13;17;63;[];0.34678666241648104;[89]
64;13;18;64;[];0.6722179175142544;[0]
65;14;15;65;[];0.3576621430777511;[94]
66;14;16;66;[];0.13852872558938278;[95]
67;14;17;67;[];0.8948295740537948;[96]
68;14;18;68;[];0.31784835899175556;[97]
69;15;19;69;[];0.352976798763877;[0]
70;15;20;70;[];0.2933608603858926;[102]
71;15;21;71;[];0.21557961139854265;[101]
72;15;22;72;[];0.05159762294128467;[103]
73;15;23;73;[];0.1923216250794888;[0]
74;16;19;74;[];0.8516512850664675;[108]
75;16;20;75;[];0.23037562462886307;[110]
76;16;21;76;[];0.47846110335016667;[0]
77;16;22;77;[];0.1671606802882437;[109]
78;16;23;78;[];0.2625353892815696;[107]
79;17;19;79;[];0.443992894091666;[117]
80;17;20;80;[];0.6476843351638628;[115]
81;17;21;81;[];0.6912196601249772;[118]
82;17;22;82;[];0.56147114614124;[114]
83;17;23;83;[];0.45896903638919784;[116]
84;18;19;84;[];0.5308309177031298;[125]
85;18;20;85;[];0.2955514980647189;[122]
86;18;21;86;[];0.011245745360623172;[126]
87;18;22;87;[];0.5761475664171636;[124]
88;18;23;88;[];0.8123604774584998;[123]
89;19;24;89;[];0.9350769068386175;[130]
90;19;25;90;[];0.7420337623321316;[129]
91;19;26;91;[];0.14512446725788264;[131]
92;20;24;92;[];0.049820228889182694;[135]
93;20;25;93;[];0.7419168078848397;[136]
94;20;26;94;[];0.5014349731981751;[134]
95;21;24;95;[];0.49384187918241773;[140]
96;21;25;96;[];0.3509591226486757;[139]
97;21;26;97;[];0.1596371488400421;[141]
98;22;24;98;[];0.6442713223353655;[145]
99;22;25;99;[];0.28355398088657524;[144]
100;22;26;100;[];0.6312469802910741;[146]
101;23;24;101;[];0.952972353602846;[150]
102;23;25;102;[];0.9401904725151045;[151]
103;23;26;103;[];0.6932701327650117;[152]
104;24;27;104;[];0.23120306913240518;[156]
105;24;28;105;[];0.18337958332726623;[158]
106;24;29;106;[];0.005132143791394261;[157]
107;25;27;107;[];0.9062695854293237;[165]
108;25;28;108;[];0.39466455558806723;[164]
109;25;29;109;[];0.6200451543976564;[163]
110;26;27;110;[];0.9769260717175492;[170]
111;26;28;111;[];0.8144424664595418;[171]
112;26;29;112;[];0.9298540463137404;[172]
113;27;30;113;[];0.8288714351800963;[177]
114;27;31;114;[];0.2781627903455932;[176]
115;27;32;115;[];0.37551716960729653;[178]
116;27;33;116;[];0.23238039533801835;[179]
117;28;30;117;[];0.5095240023623304;[183]
118;28;31;118;[];0.12089187674108937;[0]
119;28;32;119;[];0.2577796062580564;[182]
120;28;33;120;[];0.30141595550504596;[184]
121;29;30;121;[];0.35282308772146354;[188]
122;29;31;122;[];0.8682024836533728;[190]
123;29;32;123;[];0.7624858866308197;[0]
124;29;33;124;[];0.661709679843093;[189]
125;30;34;125;[];0.2731846605544175;[195]
126;30;35;126;[];0.13516914078262143;[196]
127;30;36;127;[];0.7125651067240126;[194]
128;31;34;128;[];0.2582133729455989;[201]
129;31;35;129;[];0.04984776073482178;[202]
130;31;36;130;[];0.6318066023807851;[203]
131;32;34;131;[];0.5893751005646939;[208]
132;32;35;132;[];0.5573989502757741;[210]
133;32;36;133;[];0.596211054273944;[209]
134;33;34;134;[];0.8105974539639644;[215]
135;33;35;135;[];0.5358502239676712;[213]
136;33;36;136;[];0.7103907635368714;[214]
137;34;37;137;[];0.5054923933507443;[0]
138;34;38;138;[];0.8771823453480609;[0]
139;34;39;139;[];0.9288786641502924;[0]
140;34;40;140;[];0.9213404720936105;[0]
141;34;41;141;[];0.8636559423830708;[0]
142;35;37;142;[];0.9416618848816654;[0]
143;35;38;143;[];0.6019562334378614;[0]
144;35;39;144;[];0.9466747097952497;[0]
145;35;40;145;[];0.923427818299944;[0]
146;35;41;146;[];0.179703873255169;[0]
147;36;37;147;[];0.34550453395999026;[0]
148;36;38;148;[];0.7823454563540804;[0]
149;36;39;149;[];0.39104362730526;[0]
150;36;40;150;[];0.8186972016008873;[0]
151;36;41;151;[];0.9823933987638576;[0]
152;1;10;152;[];0.5525504405253581;[0]
153;1;11;153;[];0.42351556220338216;[6]
154;1;12;154;[];0.39766116960186193;[9]
155;1;13;155;[];0.16928461897209712;[7]
156;1;14;156;[];0.5128887104172761;[8]
157;2;10;157;[];0.7177562922356842;[16]
158;2;11;158;[];0.3106931045977501;[0]
159;2;12;159;[];0.6724353817792683;[14]
160;2;13;160;[];0.24519201014716874;[15]
161;2;14;161;[];0.9796192537187085;[17]
162;3;10;162;[];0.3036691340160369;[24]
163;3;11;163;[];0.35355422693397065;[23]
164;3;12;164;[];0.2775867319864096;[25]
165;3;13;165;[];0.4370014363109669;[0]
166;3;14;166;[];0.5694691998665704;[0]
167;4;15;167;[];0.6592954329955725;[30]
168;4;16;168;[];0.48078133623905095;[29]
169;4;17;169;[];0.9292127090854994;[0]
170;4;18;170;[];0.9416104816007107;[31]
171;5;15;171;[];0.10944375430886422;[36]
172;5;16;172;[];0.8063760264693394;[37]
173;5;17;173;[];0.1133630914962831;[39]
174;5;18;174;[];0.9838333378765642;[38]
175;6;15;175;[];0.4283214997301026;[43]
176;6;16;176;[];0.24877455155794692;[0]
177;6;17;177;[];0.665560819190091;[0]
178;6;18;178;[];0.7251242274985461;[44]
179;7;15;179;[];0.2596999844098469;[49]
180;7;16;180;[];0.40385951309594526;[0]
181;7;17;181;[];0.016734329288682348;[0]
182;7;18;182;[];0.9724890027936266;[50]
183;8;15;183;[];0.11276140254602351;[57]
184;8;16;184;[];0.35815536259004865;[56]
185;8;17;185;[];0.4283884574092336;[0]
186;8;18;186;[];0.8152853892861216;[55]
187;9;15;187;[];0.33377837404308486;[0]
188;9;16;188;[];0.5638613173002769;[64]
189;9;17;189;[];0.24933192766193324;[0]
190;9;18;190;[];0.6225304077082383;[63]
191;10;19;191;[];0.7353846524759649;[71]
192;10;20;192;[];0.7717614177253518;[0]
193;10;21;193;[];0.7616668773493687;[70]
194;10;22;194;[];0.6731729588311919;[69]
195;10;23;195;[];0.48941131646238967;[72]
196;11;19;196;[];0.7895370104302726;[0]
197;11;20;197;[];0.9275053212579529;[78]
198;11;21;198;[];0.12870531152805587;[77]
199;11;22;199;[];0.413640886762505;[79]
200;11;23;200;[];0.47882395089782603;[76]
201;12;19;201;[];0.28482800695259614;[85]
202;12;20;202;[];0.8886619574733043;[87]
203;12;21;203;[];0.986319132606567;[84]
204;12;22;204;[];0.10132852894076816;[0]
205;12;23;205;[];0.6490853853421477;[86]
206;13;19;206;[];0.892020751254291;[0]
207;13;20;207;[];0.2700224304454113;[91]
208;13;21;208;[];0.011474526284553699;[93]
209;13;22;209;[];0.7634388071130203;[92]
210;13;23;210;[];0.14502062900910095;[0]
211;14;19;211;[];0.7608004908567481;[0]
212;14;20;212;[];0.2711162911529339;[0]
213;14;21;213;[];0.9197877601881186;[98]
214;14;22;214;[];0.6300262737770534;[100]
215;14;23;215;[];0.5662776321716358;[99]
216;15;24;216;[];0.1621752409379189;[105]
217;15;25;217;[];0.714492328672;[104]
218;15;26;218;[];0.9348389765039522;[106]
219;16;24;219;[];0.16023150056570468;[113]
220;16;25;220;[];0.7555518459403698;[112]
221;16;26;221;[];0.7497150814148017;[111]
222;17;24;222;[];0.5667297744138828;[121]
223;17;25;223;[];0.48204684112179486;[120]
224;17;26;224;[];0.2691874853833769;[119]
225;18;24;225;[];0.28800888725405693;[127]
226;18;25;226;[];0.03408427016108795;[128]
227;18;26;227;[];0.7637650680344723;[0]
228;19;27;228;[];0.047688392560715;[132]
229;19;28;229;[];0.36367653736682715;[133]
230;19;29;230;[];0.915858075955996;[0]
