id;depart;arrivee;OnD;list_airports;alpha;list_flights
1;1;5;1;[];0.898925572606577;[1]
2;1;6;2;[];0.6083884151411816;[2]
3;1;7;3;[];0.8073064277485746;[3]
4;1;8;4;[];0.2596328397409482;[4]
5;2;5;5;[];0.019337371550844473;[8]
6;2;6;6;[];0.665397408668992;[9]
7;2;7;7;[];0.4574241701510888;[7]
8;2;8;8;[];0.34436482247026934;[10]
9;3;5;9;[];0.9740020682155814;[18]
10;3;6;10;[];0.49782770400281273;[17]
11;3;7;11;[];0.47139046256621464;[15]
12;3;8;12;[];0.7500242592170205;[16]
13;4;5;13;[];0.6080931421127347;[25]
14;4;6;14;[];0.44293443072967786;[24]
15;4;7;15;[];0.75074531609182;[23]
16;4;8;16;[];0.07520477589886276;[26]
17;5;9;17;[];0.5914301681798981;[33]
18;5;10;18;[];0.6332659449857989;[0]
19;5;11;19;[];0.9933918422557548;[31]
20;5;12;20;[];0.33194641738862174;[0]
21;5;13;21;[];0.6574487763991976;[32]
22;5;14;22;[];0.0009733013293471426;[34]
23;6;9;23;[];0.019780898098377797;[0]
24;6;10;24;[];0.3499970036142015;[38]
25;6;11;25;[];0.026195537896654297;[40]
26;6;12;26;[];0.8449449410147492;[41]
27;6;13;27;[];0.10141585013248866;[0]
28;6;14;28;[];0.7994713247827991;[39]
29;7;9;29;[];0.7109607918119407;[46]
30;7;10;30;[];0.2270159662270399;[45]
31;7;11;31;[];0.26880478656056783;[48]
32;7;12;32;[];0.5220209827106346;[49]
33;7;13;33;[];0.6756875641061721;[47]
34;7;14;34;[];0.662807690419378;[0]
35;8;9;35;[];0.9945541333084591;[53]
36;8;10;36;[];0.5020070158410102;[54]
37;8;11;37;[];0.9538521951652903;[55]
38;8;12;38;[];0.4701049293015671;[0]
39;8;13;39;[];0.340031034669267;[0]
40;8;14;40;[];0.532469825171539;[0]
41;9;15;41;[];0.7587026243346817;[59]
42;9;16;42;[];0.2744877872313316;[60]
43;9;17;43;[];0.08702536415781403;[58]
44;10;15;44;[];0.10913041084318653;[67]
45;10;16;45;[];0.7756906371402594;[66]
46;10;17;46;[];0.0966929656280604;[65]
47;11;15;47;[];0.28004009701821;[70]
48;11;16;48;[];0.3413548169116969;[72]
49;11;17;49;[];0.7032660571615874;[71]
